Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2019-20,Delhi,0,0,0,0,0,0,0,0,0
2019-20,Goa,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,3,3,2,0,1,0,0,0,0
2019-20,Haryana,1003,1003,843,13,40,25,0,82,0
2019-20,Himachal Pradesh,1,1,1,0,0,0,0,0,0
2019-20,Jammu and Kashmir,112,110,97,0,4,2,1,6,2
2019-20,Jharkhand,6970,6849,2329,144,3864,232,11,269,121
2019-20,Karnataka,19,19,18,0,0,1,0,0,0
2019-20,Kerala,1176,1173,500,33,32,568,7,33,3
2019-20,Ladakh,0,0,0,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,1977,1788,1156,23,310,25,10,264,189
2019-20,Maharashtra,898,894,760,51,37,19,0,27,4
2019-20,Manipur,187,178,55,23,10,13,2,75,9
2019-20,Meghalaya,553,250,182,10,10,19,4,25,303
2019-20,Mizoram,95,92,80,4,0,0,1,7,3
2019-20,Nagaland,1,1,1,0,0,0,0,0,0
2019-20,Odisha,1546,1545,854,147,508,17,1,18,1
2019-20,Puducherry,0,0,0,0,0,0,0,0,0
2019-20,Punjab,318,318,263,0,8,1,0,46,0
2019-20,Rajasthan,2524,2416,1666,20,263,108,20,339,108
2019-20,Sikkim,0,0,0,0,0,0,0,0,0
2019-20,Tamil Nadu,608,608,576,13,5,1,0,13,0
2019-20,Telangana,184,184,138,15,17,0,0,14,0
2019-20,Tripura,268,223,105,0,80,12,0,26,45
2019-20,Uttar Pradesh,14916,14687,4782,51,9633,20,0,201,229
2019-20,Uttarakhand,470,467,245,1,196,4,0,21,3
2019-20,West Bengal,1782,1721,744,123,720,35,18,81,61
2020-21,India,52039,48394,20545,715,23756,1258,203,1917,3645
2020-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
2020-21,Andhra Pradesh,285,269,269,0,0,0,0,0,16
2020-21,Arunachal Pradesh,51,50,34,0,8,3,2,3,1
2020-21,Assam,7426,4846,228,44,3664,288,136,486,2580
2020-21,Bihar,9246,9209,3988,119,5079,5,0,18,37
2020-21,Chandigarh,27,27,27,0,0,0,0,0,0
2020-21,Chhattisgarh,314,314,123,5,175,3,0,8,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,1,1,1,0,0,0,0,0,0
2020-21,Delhi,0,0,0,0,0,0,0,0,0
2020-21,Goa,0,0,0,0,0,0,0,0,0
2020-21,Gujarat,3,3,2,0,1,0,0,0,0
2020-21,Haryana,949,949,802,9,40,23,0,75,0
2020-21,Himachal Pradesh,1,1,1,0,0,0,0,0,0
2020-21,Jammu and Kashmir,113,111,99,0,4,1,1,6,2
2020-21,Jharkhand,6714,6633,2710,159,3330,207,12,215,81
2020-21,Karnataka,17,17,15,0,0,1,0,1,0
2020-21,Kerala,1029,1029,464,28,26,477,5,29,0
2020-21,Ladakh,0,0,0,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,1834,1744,1136,35,300,22,4,247,90
2020-21,Maharashtra,824,824,705,45,37,16,0,21,0
2020-21,Manipur,163,157,50,14,10,11,2,70,6
2020-21,Meghalaya,544,260,194,10,10,19,3,24,284
2020-21,Mizoram,86,84,73,5,0,0,1,5,2
2020-21,Nagaland,1,1,1,0,0,0,0,0,0
2020-21,Odisha,1692,1525,914,33,537,21,0,20,167
2020-21,Puducherry,0,0,0,0,0,0,0,0,0
2020-21,Punjab,17,17,13,0,2,0,0,2,0
2020-21,Rajasthan,2540,2454,1704,19,260,100,20,351,86
2020-21,Sikkim,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,587,587,556,13,5,2,0,11,0
2020-21,Telangana,179,179,135,14,13,1,0,16,0
2020-21,Tripura,266,225,110,2,79,12,0,22,41
2020-21,Uttar Pradesh,14977,14775,5189,57,9321,14,0,194,202
2020-21,Uttarakhand,508,501,290,1,186,3,0,21,7
2020-21,West Bengal,1645,1602,712,103,669,29,17,72,43
2021-22,India,48405,45813,21004,741,21634,1010,179,1245,2592
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,211,211,155,27,21,1,0,7,0
2021-22,Arunachal Pradesh,47,45,32,1,7,3,1,1,2
2021-22,Assam,5676,3830,306,38,2921,221,122,222,1846
2021-22,Bihar,8768,8742,3952,115,4659,5,0,11,26
2021-22,Chandigarh,27,27,27,0,0,0,0,0,0
2021-22,Chhattisgarh,289,289,115,5,161,3,0,5,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,1,1,1,0,0,0,0,0,0
2021-22,Delhi,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,3,3,2,0,1,0,0,0,0
2021-22,Haryana,887,887,754,6,50,19,0,58,0
2021-22,Himachal Pradesh,2,2,2,0,0,0,0,0,0
2021-22,Jammu and Kashmir,105,105,91,1,6,0,1,6,0
2021-22,Jharkhand,6281,6226,2951,186,2825,154,6,104,55
2021-22,Karnataka,11,11,8,1,0,1,0,1,0
2021-22,Kerala,883,883,413,27,34,388,3,18,0
2021-22,Ladakh,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,1802,1729,1206,33,350,21,5,114,73
2021-22,Maharashtra,661,660,578,33,31,9,0,9,1
2021-22,Manipur,135,131,45,14,12,9,2,49,4
2021-22,Meghalaya,525,280,220,10,12,17,2,19,245
2021-22,Mizoram,84,82,73,4,0,0,1,4,2
2021-22,Nagaland,1,1,1,0,0,0,0,0,0
2021-22,Odisha,1308,1278,858,39,353,15,3,10,30
2021-22,Puducherry,0,0,0,0,0,0,0,0,0
2021-22,Punjab,14,14,10,0,3,0,0,1,0
2021-22,Rajasthan,2599,2519,1752,17,295,93,18,344,80
2021-22,Sikkim,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,446,446,424,7,5,2,0,8,0
2021-22,Telangana,167,167,133,10,11,0,0,13,0
2021-22,Tripura,261,221,117,2,75,10,0,17,40
2021-22,Uttar Pradesh,15109,14959,5749,61,8999,11,1,138,150
2021-22,Uttarakhand,498,495,305,0,167,3,0,20,3
2021-22,West Bengal,1604,1569,724,104,636,25,14,66,35
