Year,State,Number of Secondary and Higher Secondary Schools - All management,Number of Secondary and Higher Secondary Schools - Government,Number of Secondary and Higher Secondary Schools - Government aided,Number of Secondary and Higher Secondary Schools - Pvt. unaided,Number of Secondary and Higher Secondary Schools - Others,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - All management,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Government,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Government aided,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Pvt. unaided,Number of Secondary and Higher Secondary schools having vocational courses under NSQF at secondary/higher secondary level - Others,Total enrolment under NSQF at secondary/higher secondary level - All management,Total enrolment under NSQF at secondary/higher secondary level - Government,Total enrolment under NSQF at secondary/higher secondary level - Government aided,Total enrolment under NSQF at secondary/higher secondary level - Pvt. unaided,Total enrolment under NSQF at secondary/higher secondary level - Others
2019-20,Bihar,9152,6294,308,1978,572,0,0,0,0,0,0,0,0,0,0
2019-20,Chandigarh,168,100,7,57,4,22,22,0,0,0,3056,3056,0,0,0
2019-20,Chhattisgarh,7195,4803,109,2282,1,546,546,0,0,0,79598,79598,0,0,0
2019-20,Dadra and Nagar Haveli,47,29,4,14,0,4,4,0,0,0,340,340,0,0,0
2019-20,Daman and Diu,48,28,4,15,1,5,5,0,0,0,225,225,0,0,0
2019-20,Delhi,2142,1094,181,867,0,300,300,0,0,0,84941,84941,0,0,0
2019-20,Goa,521,93,398,30,0,118,83,35,0,0,6191,4622,1569,0,0
2019-20,Gujarat,12445,1783,5156,5503,3,122,117,5,0,0,5183,4991,192,0,0
2019-20,Haryana,8383,3399,16,4935,33,1065,1065,0,0,0,125995,125995,0,0,0
2019-20,Himachal Pradesh,4243,2852,0,1391,0,873,873,0,0,0,77928,77928,0,0,0
2019-20,Jammu and Kashmir,4382,2582,1,1785,14,637,637,0,0,0,43033,43033,0,0,0
2019-20,Jharkhand,4946,2895,183,1323,545,388,388,0,0,0,19088,19088,0,0,0
2019-20,Karnataka,21075,6504,4400,10163,8,150,150,0,0,0,3633,3633,0,0,0
2019-20,Kerala,4904,1296,1438,2065,105,101,101,0,0,0,8924,8924,0,0,0
2019-20,Ladakh,155,123,1,31,0,17,17,0,0,0,1201,1201,0,0,0
2019-20,Lakshadweep,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,17548,9417,277,7851,3,1199,1199,0,0,0,125678,125678,0,0,0
2019-20,Maharashtra,28093,1927,16411,9613,142,583,583,0,0,0,51291,51291,0,0,0
2019-20,Manipur,1186,455,90,639,2,62,62,0,0,0,6714,6714,0,0,0
2019-20,Meghalaya,1810,124,734,750,202,22,22,0,0,0,1579,1579,0,0,0
2019-20,Mizoram,894,325,157,363,49,29,29,0,0,0,3066,3066,0,0,0
2019-20,Nagaland,771,315,0,456,0,26,26,0,0,0,1756,1756,0,0,0
2019-20,Odisha,11961,5937,3955,1948,121,572,567,5,0,0,54842,54475,367,0,0
2019-20,Puducherry,384,140,30,214,0,9,9,0,0,0,722,722,0,0,0
2019-20,Punjab,9675,3784,366,5409,116,955,955,0,0,0,114288,114288,0,0,0
2019-20,Rajasthan,31034,15137,0,15856,41,905,905,0,0,0,126825,126825,0,0,0
2019-20,Sikkim,267,218,11,38,0,194,194,0,0,0,19463,19463,0,0,0
2019-20,Tamil Nadu,13884,6245,1799,5810,30,120,120,0,0,0,37104,37104,0,0,0
2019-20,Telangana,14352,6885,288,7175,4,194,194,0,0,0,38020,38020,0,0,0
2019-20,Tripura,1137,991,34,105,7,80,79,1,0,0,853,817,36,0,0
2019-20,Uttar Pradesh,32409,2612,4990,22690,2117,161,161,0,0,0,4788,4788,0,0,0
2019-20,Uttarakhand,3836,2405,400,990,41,0,0,0,0,0,0,0,0,0,0
2019-20,West Bengal,10604,9570,39,922,73,668,668,0,0,0,58355,58355,0,0,0
2020-21,India,291466,116685,43679,126233,4869,12292,12208,81,3,0,1013996,1012329,1667,0,0
2020-21,Andaman and Nicobar Islands,121,100,2,19,0,49,49,0,0,0,5781,5781,0,0,0
2020-21,Andhra Pradesh,15183,7235,580,7344,24,476,476,0,0,0,40137,40137,0,0,0
2020-21,Arunachal Pradesh,476,327,34,115,0,99,99,0,0,0,11067,11067,0,0,0
2020-21,Assam,9823,4725,1136,3252,710,339,339,0,0,0,20249,20249,0,0,0
2020-21,Bihar,12334,9379,316,2094,545,0,0,0,0,0,0,0,0,0,0
2020-21,Chandigarh,169,100,7,58,4,28,28,0,0,0,4157,4157,0,0,0
2020-21,Chhattisgarh,7275,4824,110,2340,1,546,546,0,0,0,67893,67893,0,0,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,99,58,8,32,1,9,9,0,0,0,911,911,0,0,0
2020-21,Delhi,2157,1095,181,881,0,347,347,0,0,0,72734,72734,0,0,0
2020-21,Goa,526,96,400,30,0,121,87,34,0,0,5923,4644,1279,0,0
2020-21,Gujarat,12709,1952,5108,5646,3,252,245,7,0,0,14386,14072,314,0,0
2020-21,Haryana,8522,3424,16,5050,32,1074,1074,0,0,0,91587,91587,0,0,0
2020-21,Himachal Pradesh,4259,2857,0,1402,0,953,953,0,0,0,42074,42074,0,0,0
2020-21,Jammu and Kashmir,4405,2586,1,1805,13,714,714,0,0,0,44782,44782,0,0,0
2020-21,Jharkhand,4961,2895,182,1346,538,440,440,0,0,0,25698,25698,0,0,0
2020-21,Karnataka,21068,6537,4380,10143,8,203,203,0,0,0,9119,9119,0,0,0
2020-21,Kerala,4921,1301,1437,2084,99,233,199,34,0,0,300,300,0,0,0
2020-21,Ladakh,161,128,1,32,0,28,28,0,0,0,1151,1151,0,0,0
2020-21,Lakshadweep,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,17904,9428,274,8199,3,1200,1200,0,0,0,112084,112084,0,0,0
2020-21,Maharashtra,28505,1960,16510,9900,135,661,661,0,0,0,49395,49395,0,0,0
2020-21,Manipur,1214,458,90,665,1,97,97,0,0,0,6945,6945,0,0,0
2020-21,Meghalaya,1827,131,733,762,201,22,22,0,0,0,1413,1413,0,0,0
2020-21,Mizoram,900,336,157,364,43,46,46,0,0,0,2411,2411,0,0,0
2020-21,Nagaland,778,316,0,462,0,26,26,0,0,0,1633,1633,0,0,0
2020-21,Odisha,11969,5919,3966,1961,123,953,945,5,3,0,78336,78336,0,0,0
2020-21,Puducherry,385,140,30,215,0,9,9,0,0,0,822,822,0,0,0
2020-21,Punjab,9653,3786,365,5501,1,989,989,0,0,0,84826,84826,0,0,0
2020-21,Rajasthan,31463,15482,0,15939,42,905,905,0,0,0,98698,98698,0,0,0
2020-21,Sikkim,266,218,11,37,0,194,194,0,0,0,14581,14581,0,0,0
2020-21,Tamil Nadu,13891,6251,1798,5817,25,120,120,0,0,0,18695,18695,0,0,0
2020-21,Telangana,14554,6956,286,7309,3,194,194,0,0,0,19865,19865,0,0,0
2020-21,Tripura,1157,1003,33,114,7,135,134,1,0,0,4917,4843,74,0,0
2020-21,Uttar Pradesh,33196,2657,5088,23256,2195,161,161,0,0,0,2192,2192,0,0,0
2020-21,Uttarakhand,3930,2404,400,1083,43,0,0,0,0,0,0,0,0,0,0
2020-21,West Bengal,10690,9606,39,976,69,669,669,0,0,0,59234,59234,0,0,0
2021-22,India,292850,117439,43691,126797,4923,13206,13090,116,0,0,1784696,1772259,12437,0,0
2021-22,Andaman and Nicobar Islands,122,100,2,20,0,73,73,0,0,0,10041,10041,0,0,0
2021-22,Andhra Pradesh,15041,7253,499,7274,15,505,505,0,0,0,55838,55838,0,0,0
2021-22,Arunachal Pradesh,483,332,34,117,0,99,99,0,0,0,24873,24873,0,0,0
2021-22,Assam,9705,4714,1084,3249,658,339,339,0,0,0,40592,40592,0,0,0
2021-22,Bihar,12475,9417,327,2187,544,0,0,0,0,0,0,0,0,0,0
2021-22,Chandigarh,173,103,7,59,4,38,38,0,0,0,6898,6898,0,0,0
2021-22,Chhattisgarh,7347,4878,106,2362,1,591,591,0,0,0,118934,118934,0,0,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,99,58,8,32,1,9,9,0,0,0,1556,1556,0,0,0
2021-22,Delhi,2199,1119,180,900,0,385,385,0,0,0,113395,113395,0,0,0
2021-22,Goa,543,96,413,34,0,140,88,52,0,0,8378,4606,3772,0,0
2021-22,Gujarat,12764,1999,5065,5697,3,334,326,8,0,0,23298,22488,810,0,0
2021-22,Haryana,8587,3436,15,5104,32,1074,1074,0,0,0,179686,179686,0,0,0
2021-22,Himachal Pradesh,4266,2865,0,1401,0,1003,1003,0,0,0,86865,86865,0,0,0
2021-22,Jammu and Kashmir,4416,2587,1,1816,12,1033,1033,0,0,0,79939,79939,0,0,0
2021-22,Jharkhand,4948,2897,182,1349,520,440,440,0,0,0,80723,80723,0,0,0
2021-22,Karnataka,21056,6548,4366,10136,6,204,204,0,0,0,11639,11639,0,0,0
2021-22,Kerala,4913,1303,1437,2079,94,293,243,50,0,0,41077,33588,7489,0,0
2021-22,Ladakh,162,128,1,33,0,30,30,0,0,0,2390,2390,0,0,0
2021-22,Lakshadweep,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,18063,9422,270,8368,3,1195,1195,0,0,0,208260,208260,0,0,0
2021-22,Maharashtra,28612,1972,16602,9939,99,661,661,0,0,0,68047,68047,0,0,0
2021-22,Manipur,1229,468,90,671,0,97,97,0,0,0,11861,11861,0,0,0
2021-22,Meghalaya,1848,137,733,779,199,53,53,0,0,0,3482,3482,0,0,0
2021-22,Mizoram,911,345,156,368,42,46,46,0,0,0,6342,6342,0,0,0
2021-22,Nagaland,774,311,0,463,0,32,32,0,0,0,5756,5756,0,0,0
2021-22,Odisha,11916,5952,3981,1869,114,949,944,5,0,0,103199,102953,246,0,0
2021-22,Puducherry,387,141,30,216,0,18,18,0,0,0,2640,2640,0,0,0
2021-22,Punjab,9523,3925,363,5234,1,989,989,0,0,0,159590,159590,0,0,0
2021-22,Rajasthan,31406,15669,0,15695,42,1087,1087,0,0,0,179713,179713,0,0,0
2021-22,Sikkim,267,218,11,38,0,194,194,0,0,0,16542,16542,0,0,0
2021-22,Tamil Nadu,14496,6338,1821,6302,35,184,184,0,0,0,14137,14137,0,0,0
2021-22,Telangana,14684,6977,287,7418,2,192,192,0,0,0,30130,30130,0,0,0
2021-22,Tripura,1181,1009,33,132,7,135,134,1,0,0,9087,8967,120,0,0
2021-22,Uttar Pradesh,33546,2686,5148,23337,2375,159,159,0,0,0,5346,5346,0,0,0
2021-22,Uttarakhand,3985,2404,399,1135,47,0,0,0,0,0,0,0,0,0,0
2021-22,West Bengal,10710,9619,40,984,67,625,625,0,0,0,74442,74442,0,0,0
