Year,State,Total,Pre-Primary Only,Pre-Primary and Primary,Primary Only,Primary and Upper Primary,Upper Primary Only,Upper Primary and Secondary,Secondary Only,Secondary and Higher Secondary,Higher Secondary Only
2020-21,Punjab,95,0,22,47,0,26,0,0,0,0
2020-21,Rajasthan,7178,56,346,5219,356,961,128,54,37,21
2020-21,Sikkim,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,4167,530,151,2312,417,523,60,118,27,29
2020-21,Telangana,437,1,26,274,112,22,2,0,0,0
2020-21,Tripura,1169,44,121,866,39,63,12,10,2,12
2020-21,Uttar Pradesh,76493,27,965,47565,5430,17362,1536,2772,388,448
2020-21,Uttarakhand,2510,16,28,1692,87,526,6,118,4,33
2020-21,West Bengal,11498,1060,7147,590,664,1709,88,173,48,19
2021-22,India,287399,3541,11791,132068,35086,87127,4316,10017,898,2555
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,648,0,7,262,273,78,15,13,0,0
2021-22,Arunachal Pradesh,360,8,25,222,51,54,0,0,0,0
2021-22,Assam,18844,12,140,10669,106,2873,308,3598,23,1115
2021-22,Bihar,71555,590,1251,17368,11824,39044,460,652,85,281
2021-22,Chandigarh,297,42,20,95,42,66,19,4,8,1
2021-22,Chhattisgarh,930,1,3,604,49,273,0,0,0,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,25,0,0,9,2,2,0,5,4,3
2021-22,Delhi,0,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,30,0,0,10,0,6,1,8,1,4
2021-22,Haryana,6563,104,57,4194,524,1588,28,41,22,5
2021-22,Himachal Pradesh,5,0,0,5,0,0,0,0,0,0
2021-22,Jammu and Kashmir,714,34,56,304,100,160,13,34,4,9
2021-22,Jharkhand,51863,632,1765,22321,9199,16152,819,858,16,101
2021-22,Karnataka,45,0,0,15,4,9,11,6,0,0
2021-22,Kerala,7378,361,57,4503,378,1818,84,139,15,23
2021-22,Ladakh,0,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,6264,11,32,2534,731,2941,10,1,3,1
2021-22,Maharashtra,4032,96,139,2468,266,703,100,244,6,10
2021-22,Manipur,1247,57,144,615,247,184,0,0,0,0
2021-22,Meghalaya,2392,59,294,790,183,219,108,522,14,203
2021-22,Mizoram,540,18,17,155,58,68,0,153,0,71
2021-22,Nagaland,6,2,1,3,0,0,0,0,0,0
2021-22,Odisha,8899,68,315,5130,1749,806,211,492,16,112
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,78,1,18,34,0,24,1,0,0,0
2021-22,Rajasthan,7164,34,127,5362,530,875,121,58,37,20
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,3559,321,101,2020,404,477,57,114,27,38
2021-22,Telangana,377,2,20,251,88,15,1,0,0,0
2021-22,Tripura,1076,28,92,852,12,46,15,13,5,13
2021-22,Uttar Pradesh,78435,21,126,48629,7518,16505,1818,2787,549,482
2021-22,Uttarakhand,2359,12,22,1570,96,487,10,122,5,35
2021-22,West Bengal,11714,1027,6962,1074,652,1654,106,153,58,28
