Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total
2018-19,Uttar Pradesh,9.5,9.9,9.7,3.2,8.4,5.7,15.5,15.6,15.5
2018-19,Uttarakhand,3.8,3.5,3.7,4,3.4,3.7,12.3,9.5,11
2018-19,West Bengal,4,2.9,3.5,3.6,0,1.5,19.4,19.6,19.5
2019-20,India,1.7,1.2,1.5,2.2,3.0,2.6,17.0,15.1,16.1
2019-20,Andaman and Nicobar Islands,0.7,0.3,0.5,0.0,0.0,0.0,19.1,12.3,15.7
2019-20,Andhra Pradesh,0.0,0.0,0.0,0.3,0.2,0.3,17.2,12.2,14.8
2019-20,Arunachal Pradesh,7.8,4.6,6.2,7.7,7.2,7.5,37.6,30.9,34.3
2019-20,Assam,5.1,3.6,4.3,4.8,2.1,3.4,31.5,32.9,32.3
2019-20,Bihar,3.0,1.5,2.3,8.6,9.2,8.9,20.0,22.7,21.4
2019-20,Chandigarh,0.0,0.0,0.0,0.3,0.3,0.3,5.9,3.3,4.7
2019-20,Chhattisgarh,1.4,0.6,1.0,4.6,3.1,3.8,19.4,17.2,18.3
2019-20,Dadra and Nagar Haveli,0.0,0.0,0.0,1.1,1.2,1.1,22.8,17.3,20.3
2019-20,Daman and Diu,0.0,0.2,0.0,0.5,0.0,0.0,23.2,16.5,20.0
2019-20,Delhi,0.0,0.0,0.0,0.0,0.2,0.1,15.6,11.8,13.8
2019-20,Goa,0.3,0.2,0.3,0.0,0.2,0.0,12.8,7.2,10.2
2019-20,Gujarat,1.0,0.9,1.0,3.5,7.2,5.2,26.0,20.7,23.7
2019-20,Haryana,0.0,0.0,0.0,1.3,2.5,1.8,14.4,12.0,13.3
2019-20,Himachal Pradesh,0.9,0.8,0.9,0.2,1.0,0.6,8.4,5.9,7.2
2019-20,Jammu and Kashmir,3.9,3.9,3.9,3.1,3.4,3.2,16.7,16.6,16.7
2019-20,Jharkhand,7.3,5.3,6.3,9.0,7.9,8.5,16.2,17.0,16.6
2019-20,Karnataka,1.4,0.9,1.2,2.7,2.3,2.5,19.4,14.1,16.8
2019-20,Kerala,0.0,0.0,0.0,0.0,0.0,0.0,9.8,5.9,7.9
2019-20,Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,Lakshadweep,0.0,0.0,0.0,0.0,0.4,0.0,10.6,2.7,6.7
2019-20,Madhya Pradesh,0.9,0.7,0.8,3.6,4.7,4.1,24.4,21.8,23.2
2019-20,Maharashtra,0.0,0.1,0.0,0.7,1.5,1.1,16.2,14.0,15.2
2019-20,Manipur,8.8,8.7,8.8,4.4,3.6,4.0,9.3,9.2,9.2
2019-20,Meghalaya,7.9,6.1,7.0,9.5,6.6,8.0,22.8,21.8,22.2
2019-20,Mizoram,8.0,7.6,7.8,3.8,1.2,2.5,23.2,17.5,20.4
2019-20,Nagaland,4.9,3.5,4.2,6.9,3.9,5.4,21.7,20.7,21.2
2019-20,Odisha,0.8,0.8,0.8,4.9,4.1,4.5,25.2,21.9,23.6
2019-20,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,10.8,4.9,7.9
2019-20,Punjab,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,1.6
2019-20,Rajasthan,2.9,2.8,2.9,1.1,2.1,1.5,12.5,12.1,12.3
2019-20,Sikkim,0.5,0.0,0.0,0.0,0.0,0.0,25.6,21.1,23.2
2019-20,Tamil Nadu,1.4,0.8,1.1,0.4,0.3,0.4,13.4,5.6,9.6
2019-20,Telangana,0.0,0.0,0.0,0.4,0.0,0.1,14.0,10.6,12.3
2019-20,Tripura,2.2,1.8,2.0,3.8,3.2,3.5,27.0,26.4,26.7
2019-20,Uttar Pradesh,2.8,2.5,2.7,0.2,4.0,2.1,14.6,14.2,14.4
2019-20,Uttarakhand,2.7,2.2,2.5,2.2,2.4,2.3,9.5,7.3,8.4
2019-20,West Bengal,0.9,0.3,0.6,0.0,0.0,0.0,14.1,13.6,13.8
2020-21,India,0.8,0.7,0.8,1.6,2.3,1.9,14.9,14.2,14.6
2020-21,Andaman and Nicobar Islands,2.1,2.5,2.3,0.0,0.5,0.2,7.6,6.9,7.2
2020-21,Andhra Pradesh,0.0,0.0,0.0,0.5,0.5,0.5,17.3,16.1,16.7
2020-21,Arunachal Pradesh,9.8,6.8,8.3,8.3,7.0,7.7,9.5,11.7,10.7
2020-21,Assam,4.2,2.3,3.3,6.0,3.2,4.6,29.7,32.1,31.0
2020-21,Bihar,0.0,0.0,0.0,2.1,3.4,2.8,16.3,19.0,17.6
2020-21,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.6
2020-21,Chhattisgarh,0.9,0.6,0.8,4.8,3.3,4.0,15.8,11.4,13.6
2020-21,Daman and Diu and Dadra and Nagar Haveli,4.1,3.1,3.6,0.0,0.0,0.0,26.7,17.7,22.4
2020-21,Delhi,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.7,8.8
2020-21,Goa,1.6,1.5,1.5,0.4,0.7,0.6,6.6,5.2,5.9
2020-21,Gujarat,0.9,1.1,1.0,3.7,5.5,4.5,25.1,20.9,23.3
2020-21,Haryana,2.2,2.1,2.1,0.0,0.0,0.0,15.8,12.3,14.3
2020-21,Himachal Pradesh,1.9,1.9,1.9,1.4,1.3,1.3,8.1,7.2,7.7
2020-21,Jammu and Kashmir,4.5,4.2,4.4,2.6,4.1,3.4,2.7,4.4,3.5
2020-21,Jharkhand,4.1,2.9,3.5,5.1,5.4,5.2,13.1,13.7,13.4
2020-21,Karnataka,1.3,0.9,1.1,2.0,1.9,2.0,18.4,14.9,16.7
2020-21,Kerala,0.1,0.0,0.0,0.0,0.0,0.0,9.2,4.9,7.1
2020-21,Ladakh,3.8,4.3,4.1,3.1,1.2,2.1,5.8,1.1,3.4
2020-21,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,1.4,1.3,1.3,4.7,5.4,5.0,27.6,24.4,26.1
2020-21,Maharashtra,1.1,0.9,1.0,1.2,1.6,1.4,11.4,11.2,11.3
2020-21,Manipur,9.0,8.2,8.6,4.3,3.6,4.0,9.4,9.5,9.4
2020-21,Meghalaya,8.7,6.1,7.4,10.2,7.7,8.9,28.9,27.1,27.9
2020-21,Mizoram,8.5,7.6,8.1,7.0,3.4,5.2,22.4,17.9,20.1
2020-21,Nagaland,6.6,5.2,5.9,4.8,2.8,3.8,25.6,23.3,24.4
2020-21,Odisha,0.0,0.0,0.0,0.0,0.0,0.0,16.7,15.4,16.0
2020-21,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,8.4,5.3,6.9
2020-21,Punjab,0.0,0.0,0.0,0.0,0.0,0.0,7.3,11.1,9.0
2020-21,Rajasthan,0.9,1.2,1.0,2.5,2.8,2.6,9.0,8.8,8.9
2020-21,Sikkim,2.1,0.2,1.2,0.0,0.0,0.0,27.4,20.8,23.9
2020-21,Tamil Nadu,0.7,0.5,0.6,0.6,0.6,0.6,8.6,4.1,6.4
2020-21,Telangana,0.0,0.0,0.0,0.0,0.0,0.0,14.3,13.4,13.9
2020-21,Tripura,4.5,3.8,4.2,3.8,2.8,3.3,31.3,28.3,29.8
2020-21,Uttar Pradesh,2.3,2.1,2.2,2.6,6.5,4.5,11.8,13.0,12.3
2020-21,Uttarakhand,1.8,1.7,1.7,1.3,1.6,1.4,10.4,7.6,9.1
2020-21,West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,15.8,15.7,15.7
2021-22,India,1.6,1.4,1.5,2.7,3.3,3.0,13.0,12.3,12.6
2021-22,Andaman and Nicobar Islands,0.2,0.7,0.4,0.9,1.0,1.0,6.0,3.9,5.0
2021-22,Andhra Pradesh,0.0,0.0,0.0,1.7,1.5,1.6,17.5,15.0,16.3
2021-22,Arunachal Pradesh,9.3,9.2,9.3,4.8,8.4,6.7,11.2,12.3,11.7
2021-22,Assam,6.8,5.2,6.0,10.1,7.6,8.8,19.8,20.7,20.3
2021-22,Bihar,0.0,0.0,0.0,4.0,5.2,4.6,19.5,21.4,20.5
2021-22,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Chhattisgarh,1.0,0.6,0.8,4.8,3.3,4.1,11.5,8.1,9.7
2021-22,Daman and Diu and Dadra and Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,10.5,8.4,9.5
2021-22,Delhi,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3.7,4.8
2021-22,Goa,0.0,0.0,0.0,0.0,0.0,0.0,12.1,5.5,9.0
2021-22,Gujarat,0.0,0.0,0.0,4.2,5.8,5.0,19.4,15.9,17.9
2021-22,Haryana,0.0,0.0,0.0,0.3,0.2,0.2,6.7,4.9,5.9
2021-22,Himachal Pradesh,0.0,0.0,0.0,0.6,0.5,0.6,2.0,0.9,1.5
2021-22,Jammu and Kashmir,3.9,4.1,4.0,2.8,3.2,3.0,5.6,6.3,6.0
2021-22,Jharkhand,2.4,1.1,1.8,3.7,4.0,3.9,9.7,8.9,9.3
2021-22,Karnataka,0.0,0.0,0.0,1.1,1.1,1.1,16.2,13.0,14.7
2021-22,Kerala,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.1,5.5
2021-22,Ladakh,7.5,5.5,6.5,2.2,0.0,1.1,4.0,5.7,4.9
2021-22,Lakshadweep,0.5,0.4,0.5,3.2,1.9,2.6,0.4,0.0,0.0
2021-22,Madhya Pradesh,3.2,2.9,3.1,8.6,9.0,8.8,10.6,9.7,10.1
2021-22,Maharashtra,0.0,0.0,0.0,1.5,1.6,1.5,10.8,10.6,10.7
2021-22,Manipur,13.5,13.0,13.3,6.0,5.2,5.6,1.4,1.2,1.3
2021-22,Meghalaya,11.1,8.6,9.8,12.0,9.4,10.6,23.3,20.4,21.7
2021-22,Mizoram,7.1,5.6,6.4,3.8,1.6,2.7,13.1,10.8,11.9
2021-22,Nagaland,5.6,4.5,5.0,4.6,3.4,4.0,18.9,16.2,17.5
2021-22,Odisha,0.0,0.0,0.0,8.0,6.5,7.3,29.2,25.2,27.3
2021-22,Puducherry,3.7,3.6,3.7,2.8,2.1,2.4,8.4,4.1,6.3
2021-22,Punjab,1.6,1.0,1.3,8.7,7.1,8.0,18.3,16.0,17.2
2021-22,Rajasthan,3.8,3.3,3.6,4.4,4.2,4.3,7.8,7.5,7.7
2021-22,Sikkim,2.9,0.5,1.8,0.0,0.0,0.0,14.6,9.5,11.9
2021-22,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,6.3,2.5,4.5
2021-22,Telangana,0.0,0.0,0.0,3.4,2.9,3.1,14.5,12.9,13.7
2021-22,Tripura,1.2,1.0,1.1,4.8,4.3,4.5,8.5,8.2,8.3
2021-22,Uttar Pradesh,2.4,3.0,2.7,1.3,4.7,2.9,9.5,10.0,9.7
2021-22,Uttarakhand,1.0,0.5,0.8,3.0,2.4,2.7,5.4,4.6,5.0
2021-22,West Bengal,9.1,8.2,8.6,0.0,0.0,0.0,18.4,17.7,18.0
