Year,State,Number of Teachers - Total,Number of Teachers - Primary (1-5),Number of Teachers - Upper Primary (1-8),Number of Teachers - Upper Primary (6-8),Number of Teachers -  Secondary (1-10),Number of Teachers - Secondary (6-10),Number of Teachers - Secondary (9-10),Number of Teachers - Higher Secondary (1-12),Number of Teachers - Higher Secondary (6-12),Number of Teachers - Higher Secondary (9-12),Number of Teachers - Higher Secondary (11-12)
2019-20,Jharkhand,5715,976,2764,35,182,1208,62,96,170,39,183
2019-20,Karnataka,46366,578,13825,128,979,374,22909,254,74,2239,5006
2019-20,Kerala,117332,22810,28025,5692,2390,6676,1388,6438,30548,13305,60
2019-20,Ladakh,80,55,11,0,14,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,4956,783,912,163,81,20,127,1112,1010,748,0
2019-20,Maharashtra,298581,20777,40679,0,81062,19574,80,114043,8464,192,13710
2019-20,Manipur,2623,1072,431,128,449,340,68,44,0,0,91
2019-20,Meghalaya,17881,6583,102,4349,90,1778,3109,157,456,601,656
2019-20,Mizoram,1824,0,0,516,0,0,971,0,0,0,337
2019-20,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2019-20,Odisha,33247,835,169,2960,157,15694,8385,0,19,0,5028
2019-20,Puducherry,992,31,0,0,344,0,0,617,0,0,0
2019-20,Punjab,5546,216,208,9,374,145,3,3422,1169,0,0
2019-20,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2019-20,Sikkim,209,17,12,0,16,14,0,120,30,0,0
2019-20,Tamil Nadu,77609,21358,12692,134,367,5243,11,3098,34590,116,0
2019-20,Telangana,4006,1211,428,0,561,1367,0,0,0,0,439
2019-20,Tripura,1214,36,11,0,63,0,1,839,264,0,0
2019-20,Uttar Pradesh,82305,1116,2888,11644,901,2505,234,11174,49559,2267,17
2019-20,Uttarakhand,5104,57,71,700,37,297,44,633,3057,197,11
2019-20,West Bengal,955,261,7,2,6,36,0,208,435,0,0
2020-21,India,808355,82524,106668,51212,90897,61365,49994,143594,134939,55147,32015
2020-21,Andaman and Nicobar Islands,73,0,0,0,0,0,0,73,0,0,0
2020-21,Andhra Pradesh,7526,2385,937,14,43,2655,0,0,25,0,1467
2020-21,Arunachal Pradesh,987,89,211,0,354,0,0,333,0,0,0
2020-21,Assam,35371,4,27,24082,104,1545,6302,163,433,16,2695
2020-21,Bihar,3744,75,1519,74,428,439,433,26,280,382,88
2020-21,Chandigarh,280,0,0,0,0,0,0,212,68,0,0
2020-21,Chhattisgarh,2619,663,324,290,107,4,7,451,490,283,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,205,0,0,0,84,0,0,52,69,0,0
2020-21,Delhi,4833,241,132,54,122,207,0,2753,1322,2,0
2020-21,Goa,8470,526,46,28,3826,2229,6,0,0,0,1809
2020-21,Gujarat,45489,405,1335,1236,7,83,6195,238,1080,34668,242
2020-21,Haryana,410,5,0,0,40,6,0,355,4,0,0
2020-21,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2020-21,Jammu and Kashmir,17,0,0,0,17,0,0,0,0,0,0
2020-21,Jharkhand,5611,950,2693,32,163,1216,61,103,182,39,172
2020-21,Karnataka,45573,550,13267,122,995,374,22154,253,89,2381,5388
2020-21,Kerala,116744,22997,27683,5587,2314,6587,1374,6364,30445,13333,60
2020-21,Ladakh,77,52,11,0,14,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,4790,740,885,141,88,20,131,1043,983,759,0
2020-21,Maharashtra,293014,20362,40570,0,78833,19389,77,111025,8766,186,13806
2020-21,Manipur,2634,1067,430,132,467,351,65,42,0,0,80
2020-21,Meghalaya,17798,6572,101,4326,91,1728,3082,159,505,618,616
2020-21,Mizoram,1816,0,0,509,0,0,974,0,0,0,333
2020-21,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,32574,754,170,2875,141,14907,8840,0,5,0,4882
2020-21,Puducherry,930,31,0,0,336,0,0,563,0,0,0
2020-21,Punjab,5232,202,200,9,349,143,3,3215,1111,0,0
2020-21,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2020-21,Sikkim,243,17,14,0,17,14,0,151,30,0,0
2020-21,Tamil Nadu,78185,21396,12716,134,368,5313,11,3154,34976,117,0
2020-21,Telangana,3599,1088,371,0,547,1243,0,0,0,0,350
2020-21,Tripura,1144,19,6,0,63,0,0,797,259,0,0
2020-21,Uttar Pradesh,82225,1003,2951,10869,914,2587,234,11238,50269,2144,16
2020-21,Uttarakhand,5139,49,59,697,50,281,45,629,3099,219,11
2020-21,West Bengal,1003,282,10,1,15,44,0,202,449,0,0
2021-22,India,796631,81441,104110,42683,88545,59064,47553,140626,141767,56897,33945
2021-22,Andaman and Nicobar Islands,74,0,0,0,0,0,0,74,0,0,0
2021-22,Andhra Pradesh,6146,1788,610,3,43,2348,0,0,24,0,1330
2021-22,Arunachal Pradesh,1000,87,219,0,347,0,0,347,0,0,0
2021-22,Assam,27251,4,37,16719,103,1422,5900,136,408,33,2489
2021-22,Bihar,3585,76,1340,73,400,411,425,32,276,395,157
2021-22,Chandigarh,283,0,0,0,0,0,0,215,68,0,0
2021-22,Chhattisgarh,2503,641,287,279,108,4,6,428,464,286,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,211,0,0,0,88,0,0,55,68,0,0
2021-22,Delhi,4614,218,120,45,111,199,0,2630,1278,13,0
2021-22,Goa,8826,593,188,28,3919,2219,6,28,0,0,1845
2021-22,Gujarat,47156,397,1294,1190,7,59,6070,214,1122,36554,249
2021-22,Haryana,323,5,0,0,37,6,0,270,5,0,0
2021-22,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2021-22,Jammu and Kashmir,13,0,0,0,13,0,0,0,0,0,0
2021-22,Jharkhand,5277,902,2512,28,148,1170,58,93,170,37,159
2021-22,Karnataka,42772,534,12310,81,1020,448,20885,234,83,2198,4979
2021-22,Kerala,116295,23502,27794,5527,2326,6534,1312,6303,29879,13057,61
2021-22,Ladakh,79,52,12,0,15,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,4591,692,795,113,82,21,110,1043,984,751,0
2021-22,Maharashtra,286748,20010,40245,0,76569,19114,74,107787,8730,183,14036
2021-22,Manipur,2616,1050,421,132,479,341,64,35,0,0,94
2021-22,Meghalaya,17658,6513,87,4271,99,1724,3025,175,521,617,626
2021-22,Mizoram,1850,0,0,536,0,0,984,0,0,0,330
2021-22,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2021-22,Odisha,32204,752,141,2539,98,13096,8288,0,7,0,7283
2021-22,Puducherry,863,32,0,0,307,0,0,524,0,0,0
2021-22,Punjab,4711,159,169,6,327,119,2,2937,992,0,0
2021-22,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2021-22,Sikkim,244,17,11,0,16,14,0,154,32,0,0
2021-22,Tamil Nadu,78333,21299,12702,123,369,5280,11,3338,35092,119,0
2021-22,Telangana,3337,1014,362,0,508,1174,0,0,0,0,279
2021-22,Tripura,1125,20,6,0,61,0,0,781,257,0,0
2021-22,Uttar Pradesh,89732,727,2394,10298,922,3028,283,11942,57685,2437,16
2021-22,Uttarakhand,5169,44,44,692,8,290,50,628,3184,217,12
2021-22,West Bengal,1042,313,10,0,15,43,0,223,438,0,0
