Year,State,Percentage of Schools having ramps with handrails for CWSN - All management,Percentage of Schools having ramps with handrails for CWSN - Government,Percentage of Schools having ramps with handrails for CWSN - Government aided,Percentage of Schools having ramps with handrails for CWSN - Pvt. unaided,Percentage of Schools having ramps with handrails for CWSN - Others
2020-21,Assam,58.46,80.13,3.45,6.37,1.36
2020-21,Bihar,36.46,40.64,25.44,21.04,16.36
2020-21,Chandigarh,53.91,61.98,57.14,56.0,11.11
2020-21,Chhattisgarh,59.98,65.68,36.28,24.68,11.15
2020-21,Daman and Diu and Dadra and Nagar Haveli,86.85,95.82,50.0,34.92,0.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,52.13,82.7,14.18,13.77,0.0
2020-21,Gujarat,56.94,71.99,36.1,27.4,66.67
2020-21,Haryana,41.98,46.95,35.29,35.83,19.07
2020-21,Himachal Pradesh,60.09,68.79,0.0,11.48,0.0
2020-21,Jammu and Kashmir,13.44,15.02,0.0,7.13,5.31
2020-21,Jharkhand,35.15,41.7,8.17,18.09,8.8
2020-21,Karnataka,51.17,66.08,26.26,22.93,5.88
2020-21,Kerala,55.64,73.71,64.08,20.55,19.05
2020-21,Ladakh,35.89,39.89,3.45,11.61,0.0
2020-21,Lakshadweep,24.44,24.44,0.0,0.0,0.0
2020-21,Madhya Pradesh,34.97,35.63,34.02,33.86,18.48
2020-21,Maharashtra,76.71,84.25,70.73,60.23,41.26
2020-21,Manipur,36.71,51.98,18.97,8.76,6.75
2020-21,Meghalaya,18.92,29.97,7.33,5.23,4.41
2020-21,Mizoram,18.04,26.04,4.76,2.95,0.0
2020-21,Nagaland,16.37,20.3,0.0,5.92,0.0
2020-21,Odisha,69.84,76.35,32.29,60.22,42.55
2020-21,Puducherry,57.49,85.78,15.15,20.63,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,37.34,46.32,0.0,22.51,4.21
2020-21,Sikkim,11.64,15.39,15.79,3.31,0.0
2020-21,Tamil Nadu,67.07,98.04,13.96,11.57,9.37
2020-21,Telangana,33.62,24.3,9.86,58.38,26.82
2020-21,Tripura,22.07,24.38,25.58,7.78,3.76
2020-21,Uttar Pradesh,44.62,60.88,32.86,26.97,16.29
2020-21,Uttarakhand,36.6,46.5,9.93,11.71,8.66
2020-21,West Bengal,52.88,59.21,8.05,8.09,7.78
2021-22,India,49.7,57.7,43.4,32.0,14.7
2021-22,Andaman and Nicobar Islands,35.3,39.2,0.0,18.1,0.0
2021-22,Andhra Pradesh,35.9,39.6,21.0,26.7,15.6
2021-22,Arunachal Pradesh,17.7,19.3,10.3,9.2,14.9
2021-22,Assam,61.6,80.5,5.2,9.0,2.2
2021-22,Bihar,37.5,41.3,27.4,23.8,18.3
2021-22,Chandigarh,54.1,56.9,57.1,63.2,14.8
2021-22,Chhattisgarh,60.9,66.0,38.1,29.0,13.8
2021-22,Daman and Diu and Dadra and Nagar Haveli,87.6,96.7,50.0,36.5,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,55.0,86.1,19.2,16.6,0.0
2021-22,Gujarat,59.3,74.3,38.6,29.5,66.7
2021-22,Haryana,45.9,51.8,50.0,38.1,20.0
2021-22,Himachal Pradesh,65.5,74.0,0.0,16.4,0.0
2021-22,Jammu and Kashmir,14.9,16.3,0.0,8.9,6.7
2021-22,Jharkhand,37.1,43.4,9.9,21.5,10.0
2021-22,Karnataka,58.5,71.3,37.7,33.8,18.2
2021-22,Kerala,60.9,77.2,68.5,28.0,24.9
2021-22,Ladakh,31.3,34.7,7.1,11.6,0.0
2021-22,Lakshadweep,76.3,76.3,0.0,0.0,0.0
2021-22,Madhya Pradesh,38.2,38.4,37.7,38.8,17.8
2021-22,Maharashtra,78.9,84.8,73.9,65.9,44.8
2021-22,Manipur,36.4,50.2,20.9,10.3,4.4
2021-22,Meghalaya,21.2,33.2,8.5,6.3,5.0
2021-22,Mizoram,19.0,26.6,6.5,4.3,2.4
2021-22,Nagaland,16.4,20.4,0.0,6.1,0.0
2021-22,Odisha,69.5,75.1,30.4,65.0,52.7
2021-22,Puducherry,57.9,85.3,18.2,21.4,0.0
2021-22,Punjab,85.1,89.5,64.9,75.7,100.0
2021-22,Rajasthan,41.4,49.7,0.0,27.6,7.0
2021-22,Sikkim,20.2,27.0,15.8,4.8,0.0
2021-22,Tamil Nadu,41.1,57.0,14.0,12.2,10.5
2021-22,Telangana,31.9,24.2,10.0,52.3,27.5
2021-22,Tripura,35.3,37.6,30.2,15.4,25.7
2021-22,Uttar Pradesh,47.3,66.2,33.5,26.7,15.9
2021-22,Uttarakhand,40.4,50.2,14.0,15.2,10.2
2021-22,West Bengal,53.1,59.2,8.0,8.9,7.7
