Year,State,Percentage of Schools with functional computer facility - All management,Percentage of Schools with functional computer facility - Government,Percentage of Schools with functional computer facility - Government aided,Percentage of Schools with functional computer facility - Pvt. unaided,Percentage of Schools with functional computer facility - Others
2020-21,Arunachal Pradesh,25.69,15.55,86.57,76.41,60.78
2020-21,Assam,13.73,12.42,5.18,46.1,1.35
2020-21,Bihar,14.09,5.34,15.65,61.18,45.07
2020-21,Chandigarh,99.13,99.17,100.0,100.0,96.3
2020-21,Chhattisgarh,80.45,82.3,43.95,72.02,34.39
2020-21,Daman and Diu and Dadra and Nagar Haveli,88.52,87.71,100.0,92.06,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,50.71,18.15,90.61,93.48,0.0
2020-21,Gujarat,92.45,93.99,95.94,87.13,66.67
2020-21,Haryana,53.9,33.18,88.24,87.92,75.97
2020-21,Himachal Pradesh,34.08,24.43,0.0,88.01,0.0
2020-21,Jammu and Kashmir,27.94,18.1,100.0,67.8,53.1
2020-21,Jharkhand,77.52,82.62,30.98,81.52,57.51
2020-21,Karnataka,46.87,32.5,66.9,75.6,47.06
2020-21,Kerala,96.03,94.92,99.03,93.95,87.07
2020-21,Ladakh,34.28,29.4,31.03,75.0,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,16.32,6.68,22.77,46.8,11.18
2020-21,Maharashtra,72.79,61.77,86.85,92.07,83.5
2020-21,Manipur,32.15,15.53,7.01,88.32,61.96
2020-21,Meghalaya,14.34,8.62,19.11,23.63,22.43
2020-21,Mizoram,49.96,39.76,77.06,67.43,67.44
2020-21,Nagaland,44.35,32.66,0.0,75.37,100.0
2020-21,Odisha,19.17,14.25,16.1,56.05,36.64
2020-21,Puducherry,94.06,89.57,100.0,100.0,0.0
2020-21,Punjab,98.78,99.74,89.23,97.31,35.29
2020-21,Rajasthan,45.55,32.18,0.0,72.44,26.73
2020-21,Sikkim,77.67,76.26,63.16,81.42,0.0
2020-21,Tamil Nadu,76.46,79.1,45.84,88.92,78.19
2020-21,Telangana,37.51,24.13,31.14,71.57,17.88
2020-21,Tripura,20.57,16.15,67.44,68.06,19.55
2020-21,Uttar Pradesh,20.17,5.19,44.85,39.75,17.35
2020-21,Uttarakhand,39.04,26.06,67.26,75.8,40.16
2020-21,West Bengal,15.7,14.14,49.43,27.63,20.12
2021-22,India,45.8,35.8,67.5,71.9,39.0
2021-22,Andaman and Nicobar Islands,66.1,59.4,100.0,97.2,0.0
2021-22,Andhra Pradesh,47.9,32.7,31.9,95.0,58.3
2021-22,Arunachal Pradesh,32.2,20.8,94.1,87.9,72.3
2021-22,Assam,16.3,13.9,7.8,54.0,2.3
2021-22,Bihar,18.3,8.6,20.2,70.6,54.2
2021-22,Chandigarh,99.6,100.0,100.0,100.0,96.3
2021-22,Chhattisgarh,82.8,84.4,48.7,75.2,38.1
2021-22,Daman and Diu and Dadra and Nagar Haveli,88.9,87.6,100.0,95.2,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,54.4,20.3,94.1,95.7,0.0
2021-22,Gujarat,97.8,98.2,99.2,96.2,100.0
2021-22,Haryana,91.6,90.3,87.5,94.9,83.2
2021-22,Himachal Pradesh,39.5,30.3,0.0,93.1,0.0
2021-22,Jammu and Kashmir,32.6,21.9,100.0,77.1,64.8
2021-22,Jharkhand,82.0,85.3,36.3,89.6,69.9
2021-22,Karnataka,54.1,37.8,76.4,87.3,81.8
2021-22,Kerala,98.2,96.1,99.9,98.4,96.0
2021-22,Ladakh,45.1,40.2,32.1,84.8,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,25.2,11.8,39.1,65.7,24.6
2021-22,Maharashtra,78.6,68.0,92.5,96.8,91.1
2021-22,Manipur,35.9,20.2,8.1,92.7,68.9
2021-22,Meghalaya,17.8,10.9,22.7,30.6,29.1
2021-22,Mizoram,52.0,41.4,79.6,70.7,69.0
2021-22,Nagaland,54.0,41.5,0.0,86.3,100.0
2021-22,Odisha,25.5,17.7,31.3,75.1,58.3
2021-22,Puducherry,98.6,97.6,100.0,100.0,0.0
2021-22,Punjab,99.5,99.9,92.0,99.1,64.3
2021-22,Rajasthan,49.8,35.3,0.0,79.9,30.9
2021-22,Sikkim,88.6,86.5,73.7,94.4,0.0
2021-22,Tamil Nadu,77.0,79.3,46.7,90.2,77.6
2021-22,Telangana,42.2,26.8,37.1,80.7,20.4
2021-22,Tripura,31.2,27.4,72.1,79.9,18.4
2021-22,Uttar Pradesh,25.8,7.2,54.5,49.8,23.8
2021-22,Uttarakhand,55.0,45.3,75.8,84.0,47.8
2021-22,West Bengal,18.1,15.8,61.4,35.9,28.1
