Year,State,Percentage of Schools with ramps for CWSN - All management,Percentage of Schools with ramps for CWSN - Government,Percentage of Schools with ramps for CWSN - Government aided,Percentage of Schools with ramps for CWSN - Pvt. unaided,Percentage of Schools with ramps for CWSN - Others
2019-20,India,67.65,77.81,58.73,45.44,25.64
2019-20,Andaman and Nicobar Islands,53.35,59.65,0.0,26.03,0.0
2019-20,Andhra Pradesh,42.82,51.44,22.47,22.14,13.91
2019-20,Arunachal Pradesh,21.3,22.51,21.54,14.81,11.54
2019-20,Assam,58.28,79.22,5.89,9.6,2.27
2019-20,Bihar,71.2,80.26,45.35,35.15,32.08
2019-20,Chandigarh,74.67,84.3,42.86,79.73,25.93
2019-20,Chhattisgarh,66.58,72.34,38.98,30.65,15.14
2019-20,Dadra and Nagar Haveli,91.33,100.0,100.0,28.57,0.0
2019-20,Daman and Diu,95.62,99.08,100.0,82.61,0.0
2019-20,Delhi,100.0,100.0,100.0,100.0,0.0
2019-20,Goa,55.13,84.28,19.15,15.22,0.0
2019-20,Gujarat,81.51,96.59,62.52,51.27,66.67
2019-20,Haryana,67.98,79.87,58.82,51.28,32.9
2019-20,Himachal Pradesh,70.13,80.07,0.0,15.22,0.0
2019-20,Jammu and Kashmir,36.08,40.94,0.0,16.4,11.61
2019-20,Jharkhand,64.22,74.74,26.6,35.94,22.48
2019-20,Karnataka,49.16,58.77,37.59,29.52,5.26
2019-20,Kerala,69.67,87.28,83.58,28.76,23.64
2019-20,Ladakh,33.49,36.47,10.34,15.18,0.0
2019-20,Lakshadweep,93.33,93.33,0.0,0.0,0.0
2019-20,Madhya Pradesh,74.46,79.83,73.67,59.37,42.79
2019-20,Maharashtra,90.38,95.89,87.58,76.98,54.01
2019-20,Manipur,51.43,71.7,26.67,15.76,10.7
2019-20,Meghalaya,25.17,38.04,12.75,7.28,8.5
2019-20,Mizoram,42.41,59.76,21.65,8.03,5.26
2019-20,Nagaland,37.49,46.25,0.0,13.94,0.0
2019-20,Odisha,81.35,87.74,41.19,71.44,53.88
2019-20,Puducherry,64.64,92.42,18.18,29.02,0.0
2019-20,Punjab,98.96,98.45,100.0,100.0,100.0
2019-20,Rajasthan,60.06,69.59,0.0,45.65,10.7
2019-20,Sikkim,18.87,22.44,10.53,11.79,0.0
2019-20,Tamil Nadu,73.63,89.46,63.76,34.48,27.3
2019-20,Telangana,86.51,91.0,33.33,78.82,44.57
2019-20,Tripura,52.13,57.05,64.44,20.74,12.69
2019-20,Uttar Pradesh,62.22,79.1,55.12,42.96,31.34
2019-20,Uttarakhand,56.59,70.07,27.39,21.88,18.51
2019-20,West Bengal,75.02,82.67,59.14,23.51,18.86
2020-21,India,70.75,81.73,60.55,46.87,25.98
2020-21,Andaman and Nicobar Islands,56.12,61.99,0.0,30.14,0.0
2020-21,Andhra Pradesh,43.79,52.29,22.77,22.84,14.39
2020-21,Arunachal Pradesh,21.25,22.25,23.88,15.73,11.76
2020-21,Assam,66.95,90.52,7.91,11.58,3.3
2020-21,Bihar,70.57,79.19,45.44,35.3,32.33
2020-21,Chandigarh,86.96,97.52,71.43,93.33,25.93
2020-21,Chhattisgarh,84.3,89.77,61.63,50.43,38.22
2020-21,Daman and Diu and Dadra and Nagar Haveli,92.9,99.51,87.5,52.38,0.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,57.73,85.75,23.18,21.74,0.0
2020-21,Gujarat,81.68,96.72,64.93,50.49,100.0
2020-21,Haryana,69.77,81.58,58.82,52.96,34.77
2020-21,Himachal Pradesh,73.2,83.2,0.0,17.33,0.0
2020-21,Jammu and Kashmir,37.94,42.94,0.0,17.95,13.27
2020-21,Jharkhand,63.62,73.84,26.64,35.28,22.0
2020-21,Karnataka,63.41,78.24,41.67,34.2,5.88
2020-21,Kerala,73.79,89.3,86.58,34.96,31.0
2020-21,Ladakh,82.77,90.27,20.69,37.5,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,80.28,86.75,75.03,62.05,45.53
2020-21,Maharashtra,91.65,96.41,89.61,79.62,58.37
2020-21,Manipur,50.93,70.36,26.15,16.75,12.27
2020-21,Meghalaya,27.05,40.15,14.37,8.86,9.56
2020-21,Mizoram,44.18,61.1,22.94,10.76,5.81
2020-21,Nagaland,38.54,47.59,0.0,14.54,0.0
2020-21,Odisha,81.55,88.48,40.97,71.45,53.9
2020-21,Puducherry,65.45,93.13,18.18,30.07,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,61.68,71.08,0.0,47.28,11.5
2020-21,Sikkim,19.79,23.97,15.79,10.94,0.0
2020-21,Tamil Nadu,80.01,99.34,63.76,34.87,26.24
2020-21,Telangana,81.24,84.94,32.14,75.44,43.02
2020-21,Tripura,53.24,58.34,62.79,20.56,14.29
2020-21,Uttar Pradesh,63.29,81.93,55.21,42.57,30.95
2020-21,Uttarakhand,58.39,71.92,28.66,23.26,23.82
2020-21,West Bengal,76.55,83.94,58.62,24.68,19.82
2021-22,India,71.8,82.2,63.8,48.7,27.8
2021-22,Andaman and Nicobar Islands,62.7,69.6,0.0,31.9,0.0
2021-22,Andhra Pradesh,53.8,60.3,37.2,36.1,28.4
2021-22,Arunachal Pradesh,24.5,26.0,20.6,16.9,19.2
2021-22,Assam,69.3,89.6,9.4,14.3,4.0
2021-22,Bihar,71.0,78.9,48.0,38.5,35.3
2021-22,Chandigarh,87.6,96.8,85.7,90.8,37.0
2021-22,Chhattisgarh,83.5,88.5,60.2,52.1,37.0
2021-22,Daman and Diu and Dadra and Nagar Haveli,92.8,99.5,100.0,50.8,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,60.7,88.7,28.7,25.2,0.0
2021-22,Gujarat,81.9,96.5,66.7,50.9,100.0
2021-22,Haryana,72.7,84.8,56.3,55.1,35.9
2021-22,Himachal Pradesh,77.6,87.1,0.0,22.1,0.0
2021-22,Jammu and Kashmir,39.4,44.2,0.0,19.5,15.2
2021-22,Jharkhand,64.2,73.9,27.9,37.1,22.5
2021-22,Karnataka,70.4,83.1,53.1,44.6,18.2
2021-22,Kerala,78.1,91.0,89.3,43.1,38.4
2021-22,Ladakh,78.7,86.5,21.4,34.8,0.0
2021-22,Lakshadweep,94.7,94.7,0.0,0.0,0.0
2021-22,Madhya Pradesh,80.3,86.0,77.4,65.1,43.0
2021-22,Maharashtra,92.7,96.4,91.1,83.4,60.4
2021-22,Manipur,49.6,66.9,28.3,17.8,9.6
2021-22,Meghalaya,30.4,44.5,16.4,10.8,10.9
2021-22,Mizoram,44.3,60.2,24.8,11.9,10.7
2021-22,Nagaland,37.9,46.5,0.0,15.6,0.0
2021-22,Odisha,80.5,86.4,39.3,75.5,64.8
2021-22,Puducherry,65.4,91.7,18.2,31.3,0.0
2021-22,Punjab,89.7,93.7,74.0,80.9,100.0
2021-22,Rajasthan,65.3,74.1,0.0,51.5,15.6
2021-22,Sikkim,29.1,36.7,15.8,12.2,0.0
2021-22,Tamil Nadu,74.0,89.5,63.8,35.4,29.8
2021-22,Telangana,75.2,79.2,29.1,68.4,41.3
2021-22,Tripura,63.0,67.7,62.8,26.5,36.4
2021-22,Uttar Pradesh,64.5,84.4,56.6,42.4,30.5
2021-22,Uttarakhand,61.7,74.9,33.4,26.7,27.1
2021-22,West Bengal,77.3,84.4,56.8,25.7,20.1
