Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2018-19,Meghalaya,466,205,37,40,19,8,121,5,1,0,30
2018-19,Mizoram,93,18,25,1,0,0,31,0,0,0,18
2018-19,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2018-19,Odisha,2507,1097,792,38,74,49,20,12,1,0,424
2018-19,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2018-19,Punjab,280,59,89,0,46,2,2,49,0,7,26
2018-19,Rajasthan,2500,2138,318,0,28,1,1,10,2,2,0
2018-19,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2018-19,Tamil Nadu,630,496,90,1,30,1,0,12,0,0,0
2018-19,Telangana,205,120,79,0,6,0,0,0,0,0,0
2018-19,Tripura,247,230,10,0,4,0,0,3,0,0,0
2018-19,Uttar Pradesh,14570,9159,3001,335,1438,43,41,514,17,21,1
2018-19,Uttarakhand,490,292,89,75,2,1,23,0,0,3,5
2018-19,West Bengal,3048,1851,323,238,78,170,0,118,270,0,0
2019-20,India,53277,27956,19057,1273,2588,289,794,955,36,108,221
2019-20,Andaman and Nicobar Islands,1,1,0,0,0,0,0,0,0,0,0
2019-20,Andhra Pradesh,302,111,169,0,19,2,0,0,0,0,1
2019-20,Arunachal Pradesh,52,29,23,0,0,0,0,0,0,0,0
2019-20,Assam,7652,6378,45,494,30,68,472,2,6,56,101
2019-20,Bihar,9314,1516,7223,3,216,8,18,301,5,14,10
2019-20,Chandigarh,27,7,16,0,3,0,0,1,0,0,0
2019-20,Chhattisgarh,317,196,37,83,0,0,0,1,0,0,0
2019-20,Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0
2019-20,Daman and Diu,1,0,0,0,0,0,0,1,0,0,0
2019-20,Delhi,0,0,0,0,0,0,0,0,0,0,0
2019-20,Goa,0,0,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,3,0,0,0,1,0,0,2,0,0,0
2019-20,Haryana,1003,386,582,2,24,1,0,8,0,0,0
2019-20,Himachal Pradesh,1,1,0,0,0,0,0,0,0,0,0
2019-20,Jammu and Kashmir,112,58,40,0,9,0,1,3,0,1,0
2019-20,Jharkhand,6970,2279,4116,30,430,58,25,18,1,3,10
2019-20,Karnataka,19,8,3,0,4,4,0,0,0,0,0
2019-20,Kerala,1176,526,539,6,86,1,3,9,1,1,4
2019-20,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,1977,766,1188,20,2,0,0,1,0,0,0
2019-20,Maharashtra,898,411,341,4,77,21,25,14,2,1,2
2019-20,Manipur,187,84,100,1,2,0,0,0,0,0,0
2019-20,Meghalaya,553,263,44,44,21,10,132,4,1,0,34
2019-20,Mizoram,95,18,27,1,0,0,33,0,0,0,16
2019-20,Nagaland,1,1,0,0,0,0,0,0,0,0,0
2019-20,Odisha,1546,897,490,38,36,45,26,5,1,0,8
2019-20,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2019-20,Punjab,318,76,126,0,45,3,2,30,0,9,27
2019-20,Rajasthan,2524,2149,334,0,24,1,1,12,1,2,0
2019-20,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2019-20,Tamil Nadu,608,481,92,5,17,1,0,12,0,0,0
2019-20,Telangana,184,114,66,0,4,0,0,0,0,0,0
2019-20,Tripura,268,248,13,0,4,0,0,3,0,0,0
2019-20,Uttar Pradesh,14916,9346,3116,337,1493,44,30,516,15,18,1
2019-20,Uttarakhand,470,273,77,79,2,3,26,0,0,3,7
2019-20,West Bengal,1782,1333,250,126,39,19,0,12,3,0,0
2020-21,India,52039,27250,18659,1261,2585,276,758,924,36,97,193
2020-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
2020-21,Andhra Pradesh,285,93,164,4,20,3,0,0,0,0,1
2020-21,Arunachal Pradesh,51,28,23,0,0,0,0,0,0,0,0
2020-21,Assam,7426,6207,43,466,28,68,451,2,6,55,100
2020-21,Bihar,9246,1477,7220,4,213,7,17,281,4,14,9
2020-21,Chandigarh,27,7,16,0,3,0,0,1,0,0,0
2020-21,Chhattisgarh,314,192,35,86,0,0,0,1,0,0,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,1,0,0,0,0,0,0,1,0,0,0
2020-21,Delhi,0,0,0,0,0,0,0,0,0,0,0
2020-21,Goa,0,0,0,0,0,0,0,0,0,0,0
2020-21,Gujarat,3,0,0,0,1,0,0,2,0,0,0
2020-21,Haryana,949,357,558,2,22,1,0,9,0,0,0
2020-21,Himachal Pradesh,1,1,0,0,0,0,0,0,0,0,0
2020-21,Jammu and Kashmir,113,58,42,0,9,0,1,2,0,1,0
2020-21,Jharkhand,6714,2109,4037,30,425,57,24,19,1,3,9
2020-21,Karnataka,17,6,3,0,4,4,0,0,0,0,0
2020-21,Kerala,1029,455,470,5,80,3,2,9,1,1,3
2020-21,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,1834,759,1052,20,2,0,0,1,0,0,0
2020-21,Maharashtra,824,376,311,2,77,17,22,15,2,0,2
2020-21,Manipur,163,78,83,1,1,0,0,0,0,0,0
2020-21,Meghalaya,544,257,44,42,22,9,131,4,1,0,34
2020-21,Mizoram,86,16,26,1,0,0,31,0,0,0,12
2020-21,Nagaland,1,1,0,0,0,0,0,0,0,0,0
2020-21,Odisha,1692,1020,504,45,33,44,26,5,0,0,15
2020-21,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,17,9,7,0,1,0,0,0,0,0,0
2020-21,Rajasthan,2540,2158,340,0,24,1,1,13,1,2,0
2020-21,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,587,472,86,4,15,1,0,9,0,0,0
2020-21,Telangana,179,109,67,0,3,0,0,0,0,0,0
2020-21,Tripura,266,246,13,0,3,0,0,4,0,0,0
2020-21,Uttar Pradesh,14977,9249,3194,339,1559,41,26,535,16,17,1
2020-21,Uttarakhand,508,281,88,96,3,3,26,0,0,4,7
2020-21,West Bengal,1645,1229,233,114,37,17,0,11,4,0,0
2021-22,India,48405,24369,17953,1160,2657,248,713,999,38,88,180
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,211,62,131,3,13,2,0,0,0,0,0
2021-22,Arunachal Pradesh,47,27,20,0,0,0,0,0,0,0,0
2021-22,Assam,5676,4596,37,385,25,61,422,3,6,49,92
2021-22,Bihar,8768,1319,6901,4,215,7,16,281,4,13,8
2021-22,Chandigarh,27,7,16,0,3,0,0,1,0,0,0
2021-22,Chhattisgarh,289,179,29,80,0,0,0,1,0,0,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,1,0,0,0,0,0,0,1,0,0,0
2021-22,Delhi,0,0,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,3,0,0,0,1,0,0,2,0,0,0
2021-22,Haryana,887,328,525,2,21,1,0,10,0,0,0
2021-22,Himachal Pradesh,2,2,0,0,0,0,0,0,0,0,0
2021-22,Jammu and Kashmir,105,52,41,0,9,0,0,2,0,1,0
2021-22,Jharkhand,6281,1877,3854,30,414,54,21,19,1,3,8
2021-22,Karnataka,11,4,1,0,4,2,0,0,0,0,0
2021-22,Kerala,883,367,419,3,76,3,1,9,1,1,3
2021-22,Ladakh,0,0,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,1802,724,1055,20,2,0,0,1,0,0,0
2021-22,Maharashtra,661,303,258,1,58,8,18,13,1,0,1
2021-22,Manipur,135,66,68,1,0,0,0,0,0,0,0
2021-22,Meghalaya,525,244,42,40,23,9,128,4,1,0,34
2021-22,Mizoram,84,16,25,1,0,0,30,0,0,0,12
2021-22,Nagaland,1,1,0,0,0,0,0,0,0,0,0
2021-22,Odisha,1308,748,406,40,32,41,25,4,0,0,12
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,14,6,7,0,1,0,0,0,0,0,0
2021-22,Rajasthan,2599,2207,350,0,24,1,1,13,1,2,0
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,446,330,78,3,13,0,0,21,0,0,1
2021-22,Telangana,167,104,61,0,2,0,0,0,0,0,0
2021-22,Tripura,261,244,10,0,3,0,0,4,0,0,0
2021-22,Uttar Pradesh,15109,9089,3314,331,1677,42,22,599,18,16,1
2021-22,Uttarakhand,498,274,73,104,3,3,29,0,1,3,8
2021-22,West Bengal,1604,1193,232,112,38,14,0,11,4,0,0
