Year,State,Number of Teachers - Total,Number of Teachers - Primary (1-5),Number of Teachers - Upper Primary (1-8),Number of Teachers - Upper Primary (6-8),Number of Teachers -  Secondary (1-10),Number of Teachers - Secondary (6-10),Number of Teachers - Secondary (9-10),Number of Teachers - Higher Secondary (1-12),Number of Teachers - Higher Secondary (6-12),Number of Teachers - Higher Secondary (9-12),Number of Teachers - Higher Secondary (11-12)
2018-19,West Bengal,615584,346645,18797,28189,7187,31035,0,20050,163510,9,162
2019-20,India,9687577,2499645,2506098,391993,1027754,454703,184396,1485158,714861,261178,161791
2019-20,Andaman and Nicobar Islands,5731,990,1005,9,958,54,0,2050,508,157,0
2019-20,Andhra Pradesh,317430,100612,51340,12,26678,111222,67,3015,3750,25,20709
2019-20,Arunachal Pradesh,23872,5048,9943,426,4115,614,25,1748,981,972,0
2019-20,Assam,369614,126271,42574,47132,59767,32181,15132,13615,16744,1263,14935
2019-20,Bihar,603870,147252,326146,2011,32244,1449,8976,40034,1411,36682,7665
2019-20,Chandigarh,10139,309,804,0,2769,0,0,6071,163,23,0
2019-20,Chhattisgarh,268596,94451,30872,47779,11955,167,9204,36465,1731,35887,85
2019-20,Dadra and Nagar Haveli,3259,479,1440,3,281,0,114,543,23,354,22
2019-20,Daman and Diu,1592,358,78,196,180,0,111,355,109,200,5
2019-20,Delhi,157647,26969,12425,480,7177,2652,0,80726,27077,141,0
2019-20,Goa,13680,3021,437,34,4243,3196,11,646,126,0,1966
2019-20,Gujarat,399910,34949,233798,4457,13142,498,12645,42774,3596,49817,4234
2019-20,Haryana,257366,44945,30991,11198,26609,11478,6,90835,41233,47,24
2019-20,Himachal Pradesh,105207,25784,7175,6409,10582,7013,15,15716,32305,119,89
2019-20,Jammu and Kashmir,173183,36154,62944,674,38857,4257,345,16766,2648,10456,82
2019-20,Jharkhand,224787,55777,99469,354,29947,5138,2682,19583,3710,3837,4290
2019-20,Karnataka,450592,55196,177097,1576,80837,7664,65295,18485,1557,11147,31738
2019-20,Kerala,275931,45304,54167,6380,30371,7588,1970,59646,49721,20238,546
2019-20,Ladakh,6197,972,2760,50,1261,269,25,284,95,464,17
2019-20,Lakshadweep,1233,210,351,29,65,0,0,170,248,160,0
2019-20,Madhya Pradesh,608620,155350,213043,28667,53975,4773,10336,103470,13250,25686,70
2019-20,Maharashtra,783847,159884,226613,438,152649,33285,4652,162347,14278,1472,28229
2019-20,Manipur,45321,10105,10256,223,15634,781,147,5092,943,716,1424
2019-20,Meghalaya,56490,24860,2089,13723,2237,2778,5604,1474,1067,854,1804
2019-20,Mizoram,23147,5737,4482,6624,108,20,4183,103,84,11,1795
2019-20,Nagaland,31914,7125,8823,198,7708,2030,42,4126,1608,31,223
2019-20,Odisha,357035,91219,137617,7662,51662,32224,16258,7672,2850,0,9871
2019-20,Puducherry,13489,1887,1039,14,2898,498,0,5512,1370,180,91
2019-20,Punjab,281673,51340,23615,11409,42892,18235,12,87219,43769,737,2445
2019-20,Rajasthan,774021,86165,242918,726,115901,1053,64,314699,10265,2209,21
2019-20,Sikkim,14558,3780,3619,0,2899,60,0,4086,114,0,0
2019-20,Tamil Nadu,562762,134178,71736,544,40211,38486,23,154097,123069,236,182
2019-20,Telangana,305597,53690,47840,0,101043,59995,0,8013,6307,0,28709
2019-20,Tripura,46728,9998,10499,16,11229,69,1,13217,1699,0,0
2019-20,Uttar Pradesh,1423995,557203,322080,157342,34592,29076,25073,126492,116264,55647,226
2019-20,Uttarakhand,122182,36596,21556,10141,4061,5684,1378,18123,23132,1394,117
2019-20,West Bengal,566362,305477,12457,25057,6017,30216,0,19889,167056,16,177
2020-21,India,9696425,2494640,2486110,380023,1048751,441759,181934,1507937,719999,266211,169061
2020-21,Andaman and Nicobar Islands,5451,946,945,0,861,60,0,1996,489,154,0
2020-21,Andhra Pradesh,322187,99475,50852,692,28090,108490,0,2536,3646,0,28406
2020-21,Arunachal Pradesh,24102,4960,9933,381,4113,656,21,1881,1146,1011,0
2020-21,Assam,370341,126679,42407,46658,59557,32363,14800,14431,16812,1294,15340
2020-21,Bihar,601519,145192,317925,1920,32615,1437,8602,41760,1353,42535,8180
2020-21,Chandigarh,9722,261,700,0,2766,0,0,5821,152,22,0
2020-21,Chhattisgarh,265328,92640,29383,46848,11787,169,9339,37411,1685,35972,94
2020-21,Daman and Diu and Dadra and Nagar Haveli,4660,817,1369,192,473,0,209,886,137,554,23
2020-21,Delhi,151933,26173,11221,455,6513,2689,0,77533,27215,134,0
2020-21,Goa,13484,2893,432,38,4226,3177,13,627,37,0,2041
2020-21,Gujarat,388805,37015,220953,3996,11779,517,12198,45603,3615,49022,4107
2020-21,Haryana,242405,43070,28273,10055,23980,10500,0,86719,39751,34,23
2020-21,Himachal Pradesh,103108,24872,6687,6385,10266,6946,8,15392,32347,134,71
2020-21,Jammu and Kashmir,172129,36424,61866,664,38487,4136,321,17118,2690,10343,80
2020-21,Jharkhand,220969,53688,96681,323,29847,5181,2687,20431,3969,3817,4345
2020-21,Karnataka,454323,53507,171310,1503,86876,8122,63134,19501,1557,12721,36092
2020-21,Kerala,274972,44368,53037,6296,30072,7510,1911,60823,50067,20319,569
2020-21,Ladakh,6175,949,2673,54,1292,228,24,312,135,490,18
2020-21,Lakshadweep,960,248,180,22,50,0,0,141,119,200,0
2020-21,Madhya Pradesh,608411,151776,211163,27171,56312,4763,9942,109313,13692,24195,84
2020-21,Maharashtra,766916,154829,218769,392,149186,32485,4649,162535,14491,1487,28093
2020-21,Manipur,45221,10050,9688,219,15753,773,141,5552,1295,335,1415
2020-21,Meghalaya,56150,24535,2073,13589,2321,2757,5539,1524,1141,882,1789
2020-21,Mizoram,23688,6300,4451,6554,136,60,4174,103,96,11,1803
2020-21,Nagaland,31805,6973,8696,163,7997,1707,41,4381,1600,31,216
2020-21,Odisha,355974,84182,142871,7639,54154,29623,16253,8265,2709,0,10278
2020-21,Puducherry,12788,1801,868,13,2900,433,0,5159,1335,194,85
2020-21,Punjab,279074,51641,23567,10835,40070,18513,12,86916,44502,745,2273
2020-21,Rajasthan,755673,84026,235230,616,110993,849,58,311933,9899,2050,19
2020-21,Sikkim,14332,3598,3585,0,2803,54,0,4171,121,0,0
2020-21,Tamil Nadu,571380,135210,72828,558,40293,38561,23,159206,124291,234,176
2020-21,Telangana,320216,49566,52964,0,125487,53433,0,9649,6225,0,22892
2020-21,Tripura,36534,8609,7033,9,8339,58,0,10993,1493,0,0
2020-21,Uttar Pradesh,1487687,585883,350308,151684,36273,29895,26518,132094,119049,55753,230
2020-21,Uttarakhand,123879,34391,21352,10057,4746,5485,1317,20685,24187,1524,135
2020-21,West Bengal,574124,307093,13837,24042,7338,30129,0,24536,166951,14,184
2021-22,India,9507123,2433800,2401441,350374,1020928,427045,172028,1534351,735872,261095,170189
2021-22,Andaman and Nicobar Islands,5281,902,883,0,850,64,0,1975,460,147,0
2021-22,Andhra Pradesh,320724,98068,49453,240,36100,102644,0,3797,4202,0,26220
2021-22,Arunachal Pradesh,23707,4907,9701,350,4028,681,20,1952,1103,965,0
2021-22,Assam,352944,119902,44048,36154,59730,29056,12903,17912,17251,1279,14709
2021-22,Bihar,582876,142866,303627,1868,31616,1376,8119,41243,1292,42389,8480
2021-22,Chandigarh,9345,241,616,0,2558,0,0,5741,151,38,0
2021-22,Chhattisgarh,260782,89993,26657,48157,11026,167,9372,39203,1900,34212,95
2021-22,Daman and Diu and Dadra and Nagar Haveli,4489,597,1638,41,348,0,200,955,137,550,23
2021-22,Delhi,151600,26262,10266,391,6109,2454,0,78052,27845,221,0
2021-22,Goa,13836,2860,565,28,4322,3175,10,730,47,0,2099
2021-22,Gujarat,378118,35947,210283,3580,11371,445,11598,46169,3615,51183,3927
2021-22,Haryana,237594,42008,27452,8945,22893,9881,0,87384,38968,38,25
2021-22,Himachal Pradesh,100137,23092,6016,6289,10010,6912,0,15024,32581,144,69
2021-22,Jammu and Kashmir,167106,35604,59212,637,37780,3778,294,17193,2705,9823,80
2021-22,Jharkhand,210418,50380,90764,274,28202,4884,2277,21074,4197,4195,4171
2021-22,Karnataka,431386,50612,159719,1268,84192,8116,59068,19144,1491,12643,35133
2021-22,Kerala,268473,44689,51835,6272,28743,7439,1846,58117,49022,19933,577
2021-22,Ladakh,6155,902,2580,52,1336,269,12,327,161,498,18
2021-22,Lakshadweep,806,200,197,0,0,0,0,113,145,151,0
2021-22,Madhya Pradesh,601208,135327,217098,15815,57235,5890,8398,121752,18403,21216,74
2021-22,Maharashtra,748589,149318,212069,383,145451,31864,4731,160907,14478,1499,27889
2021-22,Manipur,42684,9458,8456,211,14825,727,138,5718,1391,335,1425
2021-22,Meghalaya,55160,23998,1967,13197,2368,2768,5383,1555,1148,889,1887
2021-22,Mizoram,23366,6061,4105,6787,170,56,4151,97,107,0,1832
2021-22,Nagaland,31402,6938,8475,148,7900,1563,36,4630,1485,32,195
2021-22,Odisha,331336,76458,125987,6659,50851,26427,15091,9615,3538,0,16710
2021-22,Puducherry,12355,1833,773,14,2659,485,0,5013,1285,183,110
2021-22,Punjab,257134,48821,17590,9107,34070,17374,9,81394,46409,570,1790
2021-22,Rajasthan,724525,80539,225291,769,103979,802,50,301534,9549,1993,19
2021-22,Sikkim,13613,3333,3298,0,2740,56,0,4061,125,0,0
2021-22,Tamil Nadu,569920,131655,67982,496,32713,37399,24,174795,124478,196,182
2021-22,Telangana,320894,48659,50605,0,127121,54345,0,11667,6586,0,21911
2021-22,Tripura,36433,8214,7027,12,8434,61,0,11351,1334,0,0
2021-22,Uttar Pradesh,1507828,588782,359538,148809,36522,29910,26985,136849,125963,54249,221
2021-22,Uttarakhand,123212,32911,20847,9933,4830,5288,1313,21744,24702,1511,133
2021-22,West Bengal,581687,311463,14821,23488,7846,30689,0,25564,167618,13,185
