Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2019-20,Andaman and Nicobar Islands,418,222,75,1,50,3,0,47,16,4,0
2019-20,Andhra Pradesh,63824,39388,9277,5,2257,10083,12,202,288,2,2310
2019-20,Arunachal Pradesh,3666,1924,1222,54,259,48,2,69,49,39,0
2019-20,Assam,65907,44175,4182,7733,3242,2363,1962,437,723,194,896
2019-20,Bihar,90275,42712,38149,262,2511,214,1118,2234,91,2576,408
2019-20,Chandigarh,229,20,41,0,71,0,0,93,3,1,0
2019-20,Chhattisgarh,56303,32715,3067,13326,780,23,1923,1451,151,2857,10
2019-20,Dadra and Nagar Haveli,346,166,132,1,11,0,12,9,1,13,1
2019-20,Daman and Diu,137,49,4,36,10,0,13,9,4,10,2
2019-20,Delhi,5669,2660,835,32,261,98,0,1223,556,4,0
2019-20,Goa,1482,901,53,7,182,221,4,11,5,0,98
2019-20,Gujarat,54629,12468,28890,826,976,75,3791,1790,290,4717,806
2019-20,Haryana,23699,9813,3103,2400,1943,1171,1,2976,2286,4,2
2019-20,Himachal Pradesh,18185,11195,799,1948,795,942,2,603,1882,10,9
2019-20,Jammu and Kashmir,28863,14792,9565,124,2739,359,34,624,147,475,4
2019-20,Jharkhand,45596,24207,16380,63,2317,583,433,537,461,296,319
2019-20,Karnataka,77166,24821,30784,486,5063,1115,9060,707,123,1079,3928
2019-20,Kerala,16665,7070,4042,649,1420,363,161,1421,1001,477,61
2019-20,Ladakh,1054,454,436,9,82,25,2,11,7,27,1
2019-20,Lakshadweep,45,15,14,1,2,0,0,4,5,4,0
2019-20,Madhya Pradesh,133379,68208,34755,12868,4689,825,2782,5341,939,2961,11
2019-20,Maharashtra,110229,52094,29915,127,10527,6126,981,6467,1235,162,2595
2019-20,Manipur,4663,2431,1004,42,827,86,26,131,33,17,66
2019-20,Meghalaya,14730,9354,233,3333,154,239,1055,51,46,63,202
2019-20,Mizoram,3924,1500,446,1084,8,3,686,3,6,1,187
2019-20,Nagaland,2758,1187,775,25,440,139,3,122,52,1,14
2019-20,Odisha,67020,33340,19094,2625,3629,3629,2257,206,298,0,1942
2019-20,Puducherry,741,277,79,1,160,34,0,125,52,8,5
2019-20,Punjab,28775,13877,2569,2654,2744,1727,3,2876,2077,62,186
2019-20,Rajasthan,106240,38792,36199,215,10701,136,12,19369,655,159,2
2019-20,Sikkim,1277,700,310,0,145,5,0,108,9,0,0
2019-20,Tamil Nadu,58897,35621,9295,97,1963,3820,5,3658,4405,19,14
2019-20,Telangana,42575,20752,7471,0,6513,5408,0,377,377,0,1677
2019-20,Tripura,4940,2562,1239,2,665,6,1,394,71,0,0
2019-20,Uttar Pradesh,254352,138088,43685,40170,3225,4335,4941,4623,9665,5595,25
2019-20,Uttarakhand,23295,14006,2300,3153,245,841,269,604,1715,142,20
2019-20,West Bengal,95755,76286,1496,7369,483,2804,0,680,6620,2,15
2020-21,India,1509136,774742,341894,101034,73209,47499,31238,61661,36864,24885,16110
2020-21,Andaman and Nicobar Islands,417,221,75,0,49,4,0,48,16,4,0
2020-21,Andhra Pradesh,63343,39000,9016,144,2287,9827,0,257,286,0,2526
2020-21,Arunachal Pradesh,3675,1923,1227,49,263,52,2,70,50,39,0
2020-21,Assam,65203,43591,4155,7634,3263,2367,1926,453,714,190,910
2020-21,Bihar,93459,42673,38190,262,2545,219,1106,2371,90,5542,461
2020-21,Chandigarh,230,20,41,0,72,0,0,93,3,1,0
2020-21,Chhattisgarh,56494,32766,3124,13329,802,24,1906,1558,157,2818,10
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,214,132,34,23,0,25,19,5,24,3
2020-21,Delhi,5642,2629,824,32,258,99,0,1241,555,4,0
2020-21,Goa,1481,895,51,9,183,224,4,11,2,0,102
2020-21,Gujarat,54444,13639,27314,782,967,79,3776,1944,298,4861,784
2020-21,Haryana,23764,9774,3014,2454,1919,1155,1,3119,2323,3,2
2020-21,Himachal Pradesh,18145,11164,774,1948,796,936,1,614,1893,12,7
2020-21,Jammu and Kashmir,28930,14856,9546,123,2750,361,33,631,149,477,4
2020-21,Jharkhand,45319,23997,16299,62,2319,581,434,550,465,295,317
2020-21,Karnataka,76905,24737,30666,434,5293,1148,8854,713,121,1054,3885
2020-21,Kerala,16481,6959,3954,647,1425,364,159,1434,1004,475,60
2020-21,Ladakh,1056,454,432,9,87,23,2,12,9,27,1
2020-21,Lakshadweep,45,20,9,1,2,0,0,4,3,6,0
2020-21,Madhya Pradesh,133271,67968,34659,12740,4902,836,2732,5481,1109,2832,12
2020-21,Maharashtra,110114,51639,29855,115,10637,6106,984,6730,1256,165,2627
2020-21,Manipur,4653,2426,973,40,850,85,26,140,35,10,68
2020-21,Meghalaya,14694,9313,234,3320,157,240,1055,53,51,67,204
2020-21,Mizoram,3925,1496,447,1082,10,8,684,3,6,1,188
2020-21,Nagaland,2719,1156,763,22,456,122,3,131,51,1,14
2020-21,Odisha,64185,30377,19238,2601,3736,3452,2331,206,292,0,1952
2020-21,Puducherry,741,275,80,1,160,34,0,126,52,8,5
2020-21,Punjab,28695,13813,2579,2650,2661,1722,3,2933,2083,63,188
2020-21,Rajasthan,107376,39575,36126,212,10771,121,11,19751,653,154,2
2020-21,Sikkim,1263,687,310,0,144,5,0,108,9,0,0
2020-21,Tamil Nadu,58904,35580,9337,96,1943,3820,5,3711,4380,18,14
2020-21,Telangana,42917,20725,7638,0,6632,5397,0,442,386,0,1697
2020-21,Tripura,4934,2547,1228,2,681,7,0,399,70,0,0
2020-21,Uttar Pradesh,256911,138145,45755,39815,3387,4430,4910,4926,9928,5587,28
2020-21,Uttarakhand,23169,13756,2365,3118,289,835,265,656,1718,145,22
2020-21,West Bengal,95153,75732,1464,7267,490,2816,0,723,6642,2,17
2021-22,India,1489115,760460,342092,93713,73936,46566,29950,64366,37701,24321,16010
2021-22,Andaman and Nicobar Islands,416,218,76,0,49,4,0,49,16,4,0
2021-22,Andhra Pradesh,61948,38430,8425,52,2746,9131,0,246,322,0,2596
2021-22,Arunachal Pradesh,3603,1847,1228,45,261,56,2,74,51,39,0
2021-22,Assam,60859,40482,4596,6076,3363,2226,1701,602,772,173,868
2021-22,Bihar,93165,42505,37926,259,2547,221,1087,2431,91,5572,526
2021-22,Chandigarh,233,21,39,0,71,0,0,97,3,2,0
2021-22,Chhattisgarh,56512,32723,3152,13290,817,24,1896,1705,188,2707,10
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,184,172,5,20,0,25,22,5,24,3
2021-22,Delhi,5619,2594,797,29,261,96,0,1263,555,24,0
2021-22,Goa,1510,892,67,8,190,226,4,15,2,0,106
2021-22,Gujarat,53851,13827,26515,745,981,65,3592,2049,310,5002,765
2021-22,Haryana,23726,9716,2971,2452,1879,1130,0,3213,2360,3,2
2021-22,Himachal Pradesh,18028,11085,728,1949,792,936,0,617,1901,13,7
2021-22,Jammu and Kashmir,28805,14824,9443,122,2766,350,34,632,152,478,4
2021-22,Jharkhand,44855,23706,16140,61,2247,563,381,627,475,341,314
2021-22,Karnataka,76450,24470,30542,382,5523,1158,8704,711,124,1031,3805
2021-22,Kerala,16240,6812,3869,646,1421,362,158,1433,1005,475,59
2021-22,Ladakh,978,379,427,10,87,24,1,13,9,27,1
2021-22,Lakshadweep,38,16,9,0,0,0,0,4,4,5,0
2021-22,Madhya Pradesh,125582,62413,37590,7516,5284,952,2070,6098,1403,2245,11
2021-22,Maharashtra,109605,51152,29730,111,10658,6083,1000,6854,1260,160,2597
2021-22,Manipur,4617,2422,926,40,849,83,26,157,38,9,67
2021-22,Meghalaya,14600,9223,229,3300,165,248,1049,56,51,69,210
2021-22,Mizoram,3911,1481,438,1081,13,8,685,3,6,0,196
2021-22,Nagaland,2718,1157,765,22,459,114,3,137,47,1,13
2021-22,Odisha,62291,29326,18550,2499,3734,3371,2392,211,328,0,1880
2021-22,Puducherry,736,275,73,1,154,36,0,132,51,8,6
2021-22,Punjab,27701,13536,2139,2503,2446,1737,3,2938,2181,59,159
2021-22,Rajasthan,106373,38983,35764,220,10650,115,10,19842,638,149,2
2021-22,Sikkim,1259,685,307,0,145,5,0,108,9,0,0
2021-22,Tamil Nadu,58801,35062,9156,87,1715,3779,5,4548,4419,14,16
2021-22,Telangana,43083,20711,7688,0,6696,5349,0,504,421,0,1714
2021-22,Tripura,4929,2522,1224,2,695,7,0,417,62,0,0
2021-22,Uttar Pradesh,258054,138078,46564,39866,3457,4472,4854,5129,10058,5545,31
2021-22,Uttarakhand,22815,13404,2364,3062,311,828,268,691,1724,140,23
2021-22,West Bengal,94744,75299,1463,7272,484,2807,0,738,6660,2,19
