Year,State,Percentage of Schools with library facility - All management,Percentage of Schools with library facility - Government,Percentage of Schools with library facility - Government aided,Percentage of Schools with library facility - Pvt. unaided,Percentage of Schools with library facility - Others
2020-21,Chandigarh,98.26,100.0,100.0,100.0,85.19
2020-21,Chhattisgarh,96.98,98.65,91.63,86.73,77.39
2020-21,Daman and Diu and Dadra and Nagar Haveli,99.16,100.0,100.0,93.65,100.0
2020-21,Delhi,100.0,100.0,100.0,100.0,0.0
2020-21,Goa,99.12,100.0,99.04,94.2,0.0
2020-21,Gujarat,95.8,99.03,97.68,86.87,100.0
2020-21,Haryana,96.36,98.86,94.12,94.17,77.13
2020-21,Himachal Pradesh,95.14,96.86,0.0,85.58,0.0
2020-21,Jammu and Kashmir,68.11,65.93,100.0,77.11,64.6
2020-21,Jharkhand,93.15,97.52,92.94,96.3,69.08
2020-21,Karnataka,95.03,96.2,95.54,91.92,94.12
2020-21,Kerala,97.68,98.92,99.47,95.53,85.81
2020-21,Ladakh,92.8,94.64,75.86,82.14,0.0
2020-21,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2020-21,Madhya Pradesh,93.7,94.85,90.17,90.93,81.08
2020-21,Maharashtra,97.39,99.03,97.01,92.92,83.86
2020-21,Manipur,25.47,10.95,9.57,74.68,28.83
2020-21,Meghalaya,14.14,15.78,11.76,13.54,11.4
2020-21,Mizoram,81.78,98.28,68.4,48.29,36.05
2020-21,Nagaland,55.65,56.2,0.0,54.1,100.0
2020-21,Odisha,91.72,92.36,89.37,92.18,79.02
2020-21,Puducherry,100.0,100.0,100.0,100.0,0.0
2020-21,Punjab,100.0,100.0,100.0,100.0,100.0
2020-21,Rajasthan,75.51,75.54,0.0,78.72,29.37
2020-21,Sikkim,90.18,94.24,78.95,81.93,0.0
2020-21,Tamil Nadu,99.99,99.98,100.0,100.0,100.0
2020-21,Telangana,91.91,92.79,85.29,90.65,53.63
2020-21,Tripura,65.93,68.77,67.44,58.61,30.08
2020-21,Uttar Pradesh,77.21,94.15,70.1,59.59,39.9
2020-21,Uttarakhand,89.7,93.42,82.25,82.34,54.92
2020-21,West Bengal,86.66,91.57,68.97,51.44,53.92
2021-22,India,87.3,91.3,88.0,79.9,53.8
2021-22,Andaman and Nicobar Islands,99.5,99.7,100.0,98.6,0.0
2021-22,Andhra Pradesh,97.6,97.8,95.5,97.2,85.3
2021-22,Arunachal Pradesh,45.0,40.3,89.7,66.8,44.7
2021-22,Assam,87.4,98.0,61.2,76.2,31.6
2021-22,Bihar,63.4,61.6,66.7,80.1,62.8
2021-22,Chandigarh,98.3,100.0,100.0,100.0,85.2
2021-22,Chhattisgarh,98.2,99.2,96.2,91.8,82.7
2021-22,Daman and Diu and Dadra and Nagar Haveli,98.7,99.5,100.0,93.7,100.0
2021-22,Delhi,100.0,100.0,100.0,100.0,0.0
2021-22,Goa,99.7,100.0,99.3,100.0,0.0
2021-22,Gujarat,96.0,99.1,98.0,87.2,100.0
2021-22,Haryana,97.1,99.5,87.5,94.7,79.5
2021-22,Himachal Pradesh,95.9,97.4,0.0,87.7,50.0
2021-22,Jammu and Kashmir,72.2,70.5,100.0,79.3,68.6
2021-22,Jharkhand,93.9,97.8,92.5,96.7,71.1
2021-22,Karnataka,96.4,97.5,96.8,93.4,90.9
2021-22,Kerala,98.4,99.3,99.8,96.8,89.0
2021-22,Ladakh,97.6,98.9,78.6,92.0,0.0
2021-22,Lakshadweep,100.0,100.0,0.0,0.0,0.0
2021-22,Madhya Pradesh,94.8,95.9,91.2,92.3,82.4
2021-22,Maharashtra,97.8,99.2,97.3,93.8,87.0
2021-22,Manipur,25.7,11.2,9.8,76.6,25.2
2021-22,Meghalaya,23.8,26.8,23.1,16.7,12.8
2021-22,Mizoram,82.6,98.4,72.2,49.3,39.3
2021-22,Nagaland,72.3,78.3,0.0,56.8,100.0
2021-22,Odisha,94.7,95.0,91.9,96.1,87.1
2021-22,Puducherry,99.6,99.8,100.0,99.3,0.0
2021-22,Punjab,99.6,100.0,94.0,98.9,100.0
2021-22,Rajasthan,77.5,78.1,0.0,79.9,29.2
2021-22,Sikkim,89.9,92.6,79.0,84.3,0.0
2021-22,Tamil Nadu,100.0,100.0,100.0,100.0,100.0
2021-22,Telangana,91.7,92.9,83.6,89.8,53.9
2021-22,Tripura,70.9,74.2,72.1,62.0,28.0
2021-22,Uttar Pradesh,79.0,96.3,71.0,61.3,41.9
2021-22,Uttarakhand,91.6,95.3,82.1,84.4,55.2
2021-22,West Bengal,87.4,92.1,70.5,53.0,56.1
