Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2018-19,Sikkim,19,6,2,0,1,2,0,4,4,0,0
2018-19,Tamil Nadu,8355,5031,1485,29,31,564,4,83,1121,7,0
2018-19,Telangana,707,290,124,0,47,217,0,0,0,0,29
2018-19,Tripura,46,10,2,0,4,0,1,21,8,0,0
2018-19,Uttar Pradesh,8090,247,372,2511,70,416,41,586,3564,282,1
2018-19,Uttarakhand,616,11,12,194,3,52,9,39,264,31,1
2018-19,West Bengal,127,71,3,5,3,9,0,9,27,0,0
2019-20,India,84362,18325,12196,10277,7317,8749,8175,5799,6821,4135,2568
2019-20,Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
2019-20,Andhra Pradesh,2234,1368,267,0,6,441,0,0,2,0,150
2019-20,Arunachal Pradesh,65,13,18,0,25,0,0,9,0,0,0
2019-20,Assam,5024,1,4,3877,6,108,766,5,27,5,225
2019-20,Bihar,721,40,347,26,66,93,81,4,25,35,4
2019-20,Chandigarh,7,0,0,0,0,0,0,6,1,0,0
2019-20,Chhattisgarh,431,210,44,68,8,1,1,24,41,34,0
2019-20,Dadra and Nagar Haveli,4,0,0,0,4,0,0,0,0,0,0
2019-20,Daman and Diu,4,0,0,0,1,0,0,1,2,0,0
2019-20,Delhi,250,47,11,11,11,14,0,90,65,1,0
2019-20,Goa,517,106,7,6,166,142,2,0,0,0,88
2019-20,Gujarat,5688,67,175,290,2,13,1936,16,72,3076,41
2019-20,Haryana,17,1,0,0,3,1,0,11,1,0,0
2019-20,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2019-20,Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
2019-20,Jharkhand,1173,498,477,15,16,121,7,16,9,3,11
2019-20,Karnataka,7244,206,2579,59,80,42,3396,13,8,254,607
2019-20,Kerala,7193,3376,1809,570,93,290,103,112,565,270,5
2019-20,Ladakh,29,25,3,0,1,0,0,0,0,0,0
2019-20,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2019-20,Madhya Pradesh,790,326,138,49,10,3,24,68,83,89,0
2019-20,Maharashtra,23791,3183,4197,0,6533,3878,23,4460,804,21,692
2019-20,Manipur,585,399,69,27,33,38,15,1,0,0,3
2019-20,Meghalaya,4180,2503,17,926,5,133,473,6,19,38,60
2019-20,Mizoram,231,0,0,74,0,0,138,0,0,0,19
2019-20,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2019-20,Odisha,5839,294,33,1557,14,2152,1156,0,3,0,630
2019-20,Puducherry,33,3,0,0,18,0,0,12,0,0,0
2019-20,Punjab,457,53,35,3,49,27,1,190,99,0,0
2019-20,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2019-20,Sikkim,19,6,2,0,1,2,0,4,4,0,0
2019-20,Tamil Nadu,8328,5021,1475,33,27,559,3,83,1120,7,0
2019-20,Telangana,702,291,123,0,47,211,0,0,0,0,30
2019-20,Tripura,45,9,2,0,4,0,1,21,8,0,0
2019-20,Uttar Pradesh,8048,218,350,2490,82,421,38,598,3578,272,1
2019-20,Uttarakhand,617,11,12,194,3,51,11,38,265,30,2
2019-20,West Bengal,93,50,2,2,2,8,0,9,20,0,0
2020-21,India,84295,18188,12175,10253,7321,8705,8207,5801,6918,4130,2597
2020-21,Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
2020-21,Andhra Pradesh,2121,1285,250,6,6,424,0,0,1,0,149
2020-21,Arunachal Pradesh,67,13,20,0,25,0,0,9,0,0,0
2020-21,Assam,4983,1,4,3842,6,108,761,5,25,4,227
2020-21,Bihar,735,40,352,27,66,97,82,4,25,37,5
2020-21,Chandigarh,7,0,0,0,0,0,0,6,1,0,0
2020-21,Chhattisgarh,430,209,43,68,9,1,1,24,42,33,0
2020-21,Daman and Diu and Dadra and Nagar Haveli,8,0,0,0,5,0,0,1,2,0,0
2020-21,Delhi,250,47,11,11,11,14,0,90,65,1,0
2020-21,Goa,522,107,7,8,167,142,2,0,0,0,89
2020-21,Gujarat,5640,68,169,295,1,12,1898,13,71,3079,34
2020-21,Haryana,17,1,0,0,3,1,0,11,1,0,0
2020-21,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2020-21,Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
2020-21,Jharkhand,1175,498,480,15,15,121,7,16,9,3,11
2020-21,Karnataka,7182,201,2543,58,82,42,3386,12,8,249,601
2020-21,Kerala,7191,3379,1805,570,93,290,103,112,565,269,5
2020-21,Ladakh,29,25,3,0,1,0,0,0,0,0,0
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,773,318,137,44,10,3,23,67,83,88,0
2020-21,Maharashtra,23924,3184,4230,0,6537,3919,24,4454,823,22,731
2020-21,Manipur,585,399,69,27,33,38,15,1,0,0,3
2020-21,Meghalaya,4176,2500,16,927,5,130,470,6,22,41,59
2020-21,Mizoram,231,0,0,74,0,0,138,0,0,0,19
2020-21,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,5844,289,37,1552,13,2075,1246,0,1,0,631
2020-21,Puducherry,33,3,0,0,18,0,0,12,0,0,0
2020-21,Punjab,455,52,35,3,47,27,1,191,99,0,0
2020-21,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2020-21,Sikkim,19,6,2,0,1,2,0,4,4,0,0
2020-21,Tamil Nadu,8326,5021,1474,33,27,560,3,83,1118,7,0
2020-21,Telangana,700,289,125,0,47,209,0,0,0,0,30
2020-21,Tripura,43,8,2,0,4,0,0,21,8,0,0
2020-21,Uttar Pradesh,8125,190,349,2498,84,434,36,608,3658,267,1
2020-21,Uttarakhand,614,10,10,194,2,48,11,40,267,30,2
2020-21,West Bengal,87,45,2,1,2,8,0,9,20,0,0
2021-22,India,82480,17692,12010,9087,7359,8613,8149,5836,6977,4139,2618
2021-22,Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
2021-22,Andhra Pradesh,1542,879,163,1,7,362,0,0,1,0,129
2021-22,Arunachal Pradesh,68,12,22,0,25,0,0,9,0,0,0
2021-22,Assam,3841,1,6,2750,6,105,734,4,24,5,206
2021-22,Bihar,742,40,348,27,66,98,82,5,25,39,12
2021-22,Chandigarh,7,0,0,0,0,0,0,6,1,0,0
2021-22,Chhattisgarh,417,204,40,67,9,1,1,24,39,32,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,8,0,0,0,5,0,0,1,2,0,0
2021-22,Delhi,247,45,11,11,10,15,0,90,64,1,0
2021-22,Goa,557,115,21,8,175,143,2,1,0,0,92
2021-22,Gujarat,5590,64,167,294,1,9,1834,13,74,3100,34
2021-22,Haryana,16,1,0,0,3,1,0,10,1,0,0
2021-22,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
2021-22,Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
2021-22,Jharkhand,1175,496,482,15,15,121,7,16,9,3,11
2021-22,Karnataka,7110,195,2503,46,87,51,3365,12,9,244,598
2021-22,Kerala,7183,3373,1803,570,93,290,103,112,565,269,5
2021-22,Ladakh,28,24,3,0,1,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,740,308,123,39,10,3,22,67,81,87,0
2021-22,Maharashtra,24037,3183,4252,0,6562,3941,23,4454,828,21,773
2021-22,Manipur,583,399,67,27,35,38,15,1,0,0,1
2021-22,Meghalaya,4172,2500,14,925,6,132,466,6,23,42,58
2021-22,Mizoram,230,0,0,74,0,0,137,0,0,0,19
2021-22,Nagaland,0,0,0,0,0,0,0,0,0,0,0
2021-22,Odisha,5807,293,37,1496,12,2018,1303,0,1,0,647
2021-22,Puducherry,33,3,0,0,18,0,0,12,0,0,0
2021-22,Punjab,450,50,34,3,47,26,1,192,97,0,0
2021-22,Rajasthan,0,0,0,0,0,0,0,0,0,0,0
2021-22,Sikkim,19,6,2,0,1,2,0,4,4,0,0
2021-22,Tamil Nadu,8323,4999,1472,31,27,557,3,107,1120,7,0
2021-22,Telangana,700,288,125,0,48,209,0,0,0,0,30
2021-22,Tripura,43,8,2,0,4,0,0,21,8,0,0
2021-22,Uttar Pradesh,8113,153,302,2510,82,436,39,617,3712,261,1
2021-22,Uttarakhand,608,9,9,191,1,48,12,40,268,28,2
2021-22,West Bengal,88,44,2,2,2,7,0,10,21,0,0
