State,UDISE State Code,Grade,Question Description,Average (%)
Andaman & Nicobar Islands,35,Grade 3,CWSN students get facilities from school,78.51855969
Andaman & Nicobar Islands,35,Grade 3,"students could understand, what teachers teach in the class",93.78045087
Andaman & Nicobar Islands,35,Grade 3,Students get parental support for their educational achievement,74.09669963
Andaman & Nicobar Islands,35,Grade 3,Teachers have adequate instructional material and supplies,28.42639594
Andaman & Nicobar Islands,35,Grade 3,Teachers have adequate work space,38.26530612
Andaman & Nicobar Islands,35,Grade 3,Teachers say that they are overloaded with the work,23.35025381
Andaman & Nicobar Islands,35,Grade 3,Teachers have responded that the school building needs major repair,27.41116751
Andaman & Nicobar Islands,35,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,27.91878173
Andaman & Nicobar Islands,35,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,24.36548223
Andaman & Nicobar Islands,35,Grade 3,Teachers participated in professional development program,63.26530612
Andaman & Nicobar Islands,35,Grade 3,Teachers have responded that the parents take interest in school activities,94.41624365
Andaman & Nicobar Islands,35,Grade 3,of schools have adequate qualified teaching staff,82.92682927
Andaman & Nicobar Islands,35,Grade 3,of schools have adequate supporting staff,62.80487805
Andaman & Nicobar Islands,35,Grade 3,of schools have adequate audio visual resources,59.50920245
Andaman & Nicobar Islands,35,Grade 3,of schools have adequate library resources,81.09756098
Andaman & Nicobar Islands,35,Grade 3,of schools participate in sports activities,99.3902439
Andaman & Nicobar Islands,35,Grade 3,Understand the protocols for COVID symptom reporting,99.49238579
Andaman & Nicobar Islands,35,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,99.49238579
Andaman & Nicobar Islands,35,Grade 3,Know about the school reopening guidelines,98.98477157
Andaman & Nicobar Islands,35,Grade 3,I learnt many things:,64
Andaman & Nicobar Islands,35,Grade 3,Experiences During Pandemic,60
Andaman & Nicobar Islands,35,Grade 3,Obstacles to learning in pandemic,31
Andaman & Nicobar Islands,35,Grade 3,No Digital Device at Home,28
Andaman & Nicobar Islands,35,Grade 3,Follow the Covid-19 hygiene protocols,90
Andaman & Nicobar Islands,35,Grade 3,"Experienced worry, anxiety and fear during pandemic",38
Andaman & Nicobar Islands,35,Grade 3,Happy being by myself at home,43
Andaman & Nicobar Islands,35,Grade 5,students like to go to school,98.28273932
Andaman & Nicobar Islands,35,Grade 5,students use home language as medium of instruction in the class,68.62940277
Andaman & Nicobar Islands,35,Grade 5,CWSN students get facilities from school,76.37861601
Andaman & Nicobar Islands,35,Grade 5,"students could understand, what teachers teach in the class",97.71456944
Andaman & Nicobar Islands,35,Grade 5,Students get parental support for their educational achievement,88.76642944
Andaman & Nicobar Islands,35,Grade 5,Teachers have adequate instructional material and supplies,30.48128342
Andaman & Nicobar Islands,35,Grade 5,Teachers have adequate work space,40.10695187
Andaman & Nicobar Islands,35,Grade 5,Teachers say that they are overloaded with the work,22.99465241
Andaman & Nicobar Islands,35,Grade 5,Teachers have responded that the school building needs major repair,24.06417112
Andaman & Nicobar Islands,35,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,18.18181818
Andaman & Nicobar Islands,35,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,19.78609626
Andaman & Nicobar Islands,35,Grade 5,Teachers participated in professional development program,62.03208556
Andaman & Nicobar Islands,35,Grade 5,Teachers have responded that the parents take interest in school activities,98.37837838
Andaman & Nicobar Islands,35,Grade 5,of schools have adequate qualified teaching staff,82.92682927
Andaman & Nicobar Islands,35,Grade 5,of schools have adequate supporting staff,62.80487805
Andaman & Nicobar Islands,35,Grade 5,of schools have adequate audio visual resources,59.50920245
Andaman & Nicobar Islands,35,Grade 5,of schools have adequate library resources,81.09756098
Andaman & Nicobar Islands,35,Grade 5,of schools participate in sports activities,99.3902439
Andaman & Nicobar Islands,35,Grade 5,Understand the protocols for COVID symptom reporting,98.39572193
Andaman & Nicobar Islands,35,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,98.39572193
Andaman & Nicobar Islands,35,Grade 5,Know about the school reopening guidelines,98.93048128
Andaman & Nicobar Islands,35,Grade 5,I learnt many things:,65
Andaman & Nicobar Islands,35,Grade 5,Experiences During Pandemic,64
Andaman & Nicobar Islands,35,Grade 5,Obstacles to learning in pandemic,32
Andaman & Nicobar Islands,35,Grade 5,No Digital Device at Home,30
Andaman & Nicobar Islands,35,Grade 5,Follow the Covid-19 hygiene protocols,89
Andaman & Nicobar Islands,35,Grade 5,"Experienced worry, anxiety and fear during pandemic",42
Andaman & Nicobar Islands,35,Grade 5,Happy being by myself at home,51
Andaman & Nicobar Islands,35,Grade 8,students like to go to school,97.25408214
Andaman & Nicobar Islands,35,Grade 8,students use home language as medium of instruction in the class,54.94473725
Andaman & Nicobar Islands,35,Grade 8,CWSN students get facilities from school,74.78930619
Andaman & Nicobar Islands,35,Grade 8,"students could understand, what teachers teach in the class",96.83299685
Andaman & Nicobar Islands,35,Grade 8,Students get parental support for their educational achievement,80.7120878
Andaman & Nicobar Islands,35,Grade 8,Teachers have adequate instructional material and supplies,30
Andaman & Nicobar Islands,35,Grade 8,Teachers have adequate work space,45.55256065
Andaman & Nicobar Islands,35,Grade 8,Teachers say that they are overloaded with the work,24.11924119
Andaman & Nicobar Islands,35,Grade 8,Teachers have responded that the school building needs major repair,28.91891892
Andaman & Nicobar Islands,35,Grade 8,Teachers have responded that there is lack of drinking water facilities in school,20.21563342
Andaman & Nicobar Islands,35,Grade 8,Teachers have responded that there are inadequate toilet facilities in school,20.43010753
Andaman & Nicobar Islands,35,Grade 8,Teachers participated in professional development program,66.57681941
Andaman & Nicobar Islands,35,Grade 8,Teachers have responded that the parents take interest in school activities,95.43010753
Andaman & Nicobar Islands,35,Grade 8,of schools have adequate qualified teaching staff,82.92682927
Andaman & Nicobar Islands,35,Grade 8,of schools have adequate supporting staff,62.80487805
Andaman & Nicobar Islands,35,Grade 8,of schools have adequate audio visual resources,59.50920245
Andaman & Nicobar Islands,35,Grade 8,of schools have adequate library resources,81.09756098
Andaman & Nicobar Islands,35,Grade 8,of schools participate in sports activities,99.3902439
Andaman & Nicobar Islands,35,Grade 8,Understand the protocols for COVID symptom reporting,99.46091644
Andaman & Nicobar Islands,35,Grade 8,Aware of the measures to be taken for wellbeing of the children and school staff,98.92473118
Andaman & Nicobar Islands,35,Grade 8,Know about the school reopening guidelines,98.65591398
Andaman & Nicobar Islands,35,Grade 8,I learnt many things:,30.05356094
Andaman & Nicobar Islands,35,Grade 8,Experiences During Pandemic,60.03585341
Andaman & Nicobar Islands,35,Grade 8,Obstacles to learning in pandemic,97.70437713
Andaman & Nicobar Islands,35,Grade 8,No Digital Device at Home,57.84040645
Andaman & Nicobar Islands,35,Grade 8,Follow the Covid-19 hygiene protocols,78.47638883
Andaman & Nicobar Islands,35,Grade 8,"Experienced worry, anxiety and fear during pandemic",95.50428276
Andaman & Nicobar Islands,35,Grade 8,Happy being by myself at home,75.2697802
Andhra Pradesh,28,Grade 10,students like to go to school,96.78084
Andhra Pradesh,28,Grade 10,students use home language as medium of instruction in the class,73.93677
Andhra Pradesh,28,Grade 10,CWSN students get facilities from school,74.31414
Andhra Pradesh,28,Grade 10,"students could understand, what teachers teach in the class",96.52501
Andhra Pradesh,28,Grade 10,Students get parental support for their educational achievement,79.21102
Andhra Pradesh,28,Grade 10,Teachers have adequate instructional material and supplies,40.632877
Andhra Pradesh,28,Grade 10,Teachers have adequate work space,56.171284
Andhra Pradesh,28,Grade 10,Teachers say that they are overloaded with the work,39.143818
Andhra Pradesh,28,Grade 10,Teachers have responded that the school building needs major repair,19.33501
Andhra Pradesh,28,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,15.322355
Andhra Pradesh,28,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,18.548388
Andhra Pradesh,28,Grade 10,Teachers participated in professional development program,54.131737
Andhra Pradesh,28,Grade 10,Teachers have responded that the parents take interest in school activities,85.2711
Andhra Pradesh,28,Grade 10,of schools have adequate qualified teaching staff,70.85158
Andhra Pradesh,28,Grade 10,of schools have adequate supporting staff,54.23397
Andhra Pradesh,28,Grade 10,of schools have adequate audio visual resources,56.468872
Andhra Pradesh,28,Grade 10,of schools have adequate library resources,46.663418
Andhra Pradesh,28,Grade 10,of schools participate in sports activities,94.08915
Andhra Pradesh,28,Grade 10,Understand the protocols for COVID symptom reporting,97.5
Andhra Pradesh,28,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,97.95918
Andhra Pradesh,28,Grade 10,Know about the school reopening guidelines,98.42963
Andhra Pradesh,28,Grade 10,I learnt many things:,66
Andhra Pradesh,28,Grade 10,Experiences During Pandemic,67
Andhra Pradesh,28,Grade 10,Obstacles to learning in pandemic,36
Andhra Pradesh,28,Grade 10,No Digital Device at Home,36
Andhra Pradesh,28,Grade 10,Follow the Covid-19 hygiene protocols,92
Andhra Pradesh,28,Grade 10,"Experienced worry, anxiety and fear during pandemic",48
Andhra Pradesh,28,Grade 10,Happy being by myself at home,51
Andhra Pradesh,28,Grade 3,students like to go to school,96.52805691
Andhra Pradesh,28,Grade 3,students use home language as medium of instruction in the class,81.86493199
Andhra Pradesh,28,Grade 3,CWSN students get facilities from school,75.41304189
Andhra Pradesh,28,Grade 3,"students could understand, what teachers teach in the class",95.54303496
Andhra Pradesh,28,Grade 3,Students get parental support for their educational achievement,75.92826061
Andhra Pradesh,28,Grade 3,Teachers have adequate instructional material and supplies,42.74744027
Andhra Pradesh,28,Grade 3,Teachers have adequate work space,53.46449957
Andhra Pradesh,28,Grade 3,Teachers say that they are overloaded with the work,36.44140291
Andhra Pradesh,28,Grade 3,Teachers have responded that the school building needs major repair,19.62457338
Andhra Pradesh,28,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,12.64957265
Andhra Pradesh,28,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,16.65243382
Andhra Pradesh,28,Grade 3,Teachers participated in professional development program,65.64952049
Andhra Pradesh,28,Grade 3,Teachers have responded that the parents take interest in school activities,92.59574468
Andhra Pradesh,28,Grade 3,of schools have adequate qualified teaching staff,70.85158151
Andhra Pradesh,28,Grade 3,of schools have adequate supporting staff,54.23396965
Andhra Pradesh,28,Grade 3,of schools have adequate audio visual resources,56.4688716
Andhra Pradesh,28,Grade 3,of schools have adequate library resources,46.66341939
Andhra Pradesh,28,Grade 3,of schools participate in sports activities,94.08914729
Andhra Pradesh,28,Grade 3,Understand the protocols for COVID symptom reporting,96.00347524
Andhra Pradesh,28,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,96.63793103
Andhra Pradesh,28,Grade 3,Know about the school reopening guidelines,96.80759275
Andhra Pradesh,28,Grade 3,I learnt many things:,55
Andhra Pradesh,28,Grade 3,Experiences During Pandemic,55
Andhra Pradesh,28,Grade 3,Obstacles to learning in pandemic,48
Andhra Pradesh,28,Grade 3,No Digital Device at Home,50
Andhra Pradesh,28,Grade 3,Follow the Covid-19 hygiene protocols,85
Andhra Pradesh,28,Grade 3,"Experienced worry, anxiety and fear during pandemic",46
Andhra Pradesh,28,Grade 3,Happy being by myself at home,48
Andhra Pradesh,28,Grade 5,students like to go to school,97.26465429
Andhra Pradesh,28,Grade 5,students use home language as medium of instruction in the class,80.07306454
Andhra Pradesh,28,Grade 5,CWSN students get facilities from school,77.77097385
Andhra Pradesh,28,Grade 5,"students could understand, what teachers teach in the class",96.50462208
Andhra Pradesh,28,Grade 5,Students get parental support for their educational achievement,79.08145196
Andhra Pradesh,28,Grade 5,Teachers have adequate instructional material and supplies,43.64876385
Andhra Pradesh,28,Grade 5,Teachers have adequate work space,52.22222222
Andhra Pradesh,28,Grade 5,Teachers say that they are overloaded with the work,37.17948718
Andhra Pradesh,28,Grade 5,Teachers have responded that the school building needs major repair,20.221843
Andhra Pradesh,28,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,14.12765957
Andhra Pradesh,28,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,16.34042553
Andhra Pradesh,28,Grade 5,Teachers participated in professional development program,62.13675214
Andhra Pradesh,28,Grade 5,Teachers have responded that the parents take interest in school activities,91.99318569
Andhra Pradesh,28,Grade 5,of schools have adequate qualified teaching staff,70.85158151
Andhra Pradesh,28,Grade 5,of schools have adequate supporting staff,54.23396965
Andhra Pradesh,28,Grade 5,of schools have adequate audio visual resources,56.4688716
Andhra Pradesh,28,Grade 5,of schools have adequate library resources,46.66341939
Andhra Pradesh,28,Grade 5,of schools participate in sports activities,94.08914729
Andhra Pradesh,28,Grade 5,Understand the protocols for COVID symptom reporting,96.13402062
Andhra Pradesh,28,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,98.20666097
Andhra Pradesh,28,Grade 5,Know about the school reopening guidelines,98.46022241
Andhra Pradesh,28,Grade 5,I learnt many things:,60
Andhra Pradesh,28,Grade 5,Experiences During Pandemic,60
Andhra Pradesh,28,Grade 5,Obstacles to learning in pandemic,47
Andhra Pradesh,28,Grade 5,No Digital Device at Home,47
Andhra Pradesh,28,Grade 5,Follow the Covid-19 hygiene protocols,88
Andhra Pradesh,28,Grade 5,"Experienced worry, anxiety and fear during pandemic",48
Andhra Pradesh,28,Grade 5,Happy being by myself at home,43
Andhra Pradesh,28,Grade 8,students like to go to school,96.45926268
Andhra Pradesh,28,Grade 8,students use home language as medium of instruction in the class,72.30877134
Andhra Pradesh,28,Grade 8,CWSN students get facilities from school,76.32574015
Andhra Pradesh,28,Grade 8,"students could understand, what teachers teach in the class",95.31416406
Andhra Pradesh,28,Grade 8,Students get parental support for their educational achievement,79.54600466
Andhra Pradesh,28,Grade 8,Teachers have adequate instructional material and supplies,40.99302421
Andhra Pradesh,28,Grade 8,Teachers have adequate work space,56.29111842
Andhra Pradesh,28,Grade 8,Teachers say that they are overloaded with the work,38.12448812
Andhra Pradesh,28,Grade 8,Teachers have responded that the school building needs major repair,17.84690954
Andhra Pradesh,28,Grade 8,Teachers have responded that there is lack of drinking water facilities in school,14.48445172
Andhra Pradesh,28,Grade 8,Teachers have responded that there are inadequate toilet facilities in school,17.17213115
Andhra Pradesh,28,Grade 8,Teachers participated in professional development program,52.82392027
Andhra Pradesh,28,Grade 8,Teachers have responded that the parents take interest in school activities,85.54463554
Andhra Pradesh,28,Grade 8,of schools have adequate qualified teaching staff,70.85158151
Andhra Pradesh,28,Grade 8,of schools have adequate supporting staff,54.23396965
Andhra Pradesh,28,Grade 8,of schools have adequate audio visual resources,56.4688716
Andhra Pradesh,28,Grade 8,of schools have adequate library resources,46.66341939
Andhra Pradesh,28,Grade 8,of schools participate in sports activities,94.08914729
Andhra Pradesh,28,Grade 8,Understand the protocols for COVID symptom reporting,97.85212722
Andhra Pradesh,28,Grade 8,Aware of the measures to be taken for wellbeing of the children and school staff,98.55491329
Andhra Pradesh,28,Grade 8,Know about the school reopening guidelines,98.88475836
Andhra Pradesh,28,Grade 8,I learnt many things:,34.09778235
Andhra Pradesh,28,Grade 8,Experiences During Pandemic,62.38262914
Andhra Pradesh,28,Grade 8,Obstacles to learning in pandemic,96.77238508
Andhra Pradesh,28,Grade 8,No Digital Device at Home,73.21078286
Andhra Pradesh,28,Grade 8,Follow the Covid-19 hygiene protocols,76.38556261
Andhra Pradesh,28,Grade 8,"Experienced worry, anxiety and fear during pandemic",95.17146056
Andhra Pradesh,28,Grade 8,Happy being by myself at home,79.86530759
Arunachal Pradesh,12,Grade 10,students like to go to school,98.50121
Arunachal Pradesh,12,Grade 10,students use home language as medium of instruction in the class,59.153706
Arunachal Pradesh,12,Grade 10,CWSN students get facilities from school,65.88862
Arunachal Pradesh,12,Grade 10,"students could understand, what teachers teach in the class",96.308586
Arunachal Pradesh,12,Grade 10,Students get parental support for their educational achievement,81.73309
Arunachal Pradesh,12,Grade 10,Teachers have adequate instructional material and supplies,15.332197
Arunachal Pradesh,12,Grade 10,Teachers have adequate work space,33.808437
Arunachal Pradesh,12,Grade 10,Teachers say that they are overloaded with the work,22.822994
Arunachal Pradesh,12,Grade 10,Teachers have responded that the school building needs major repair,46.534092
Arunachal Pradesh,12,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,35.722412
Arunachal Pradesh,12,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,38.623436
Arunachal Pradesh,12,Grade 10,Teachers participated in professional development program,52.16401
Arunachal Pradesh,12,Grade 10,Teachers have responded that the parents take interest in school activities,79.829544
Arunachal Pradesh,12,Grade 10,of schools have adequate qualified teaching staff,64.440994
Arunachal Pradesh,12,Grade 10,of schools have adequate supporting staff,43.98148
Arunachal Pradesh,12,Grade 10,of schools have adequate audio visual resources,22.58314
Arunachal Pradesh,12,Grade 10,of schools have adequate library resources,22.744795
Arunachal Pradesh,12,Grade 10,of schools participate in sports activities,92.7525
Arunachal Pradesh,12,Grade 10,Understand the protocols for COVID symptom reporting,97.33106
Arunachal Pradesh,12,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,97.21591
Arunachal Pradesh,12,Grade 10,Know about the school reopening guidelines,98.06928
Arunachal Pradesh,12,Grade 10,I learnt many things:,61
Arunachal Pradesh,12,Grade 10,Experiences During Pandemic,62
Arunachal Pradesh,12,Grade 10,Obstacles to learning in pandemic,31
Arunachal Pradesh,12,Grade 10,No Digital Device at Home,27
Arunachal Pradesh,12,Grade 10,Follow the Covid-19 hygiene protocols,89
Arunachal Pradesh,12,Grade 10,"Experienced worry, anxiety and fear during pandemic",52
Arunachal Pradesh,12,Grade 10,Happy being by myself at home,57
Arunachal Pradesh,12,Grade 3,students like to go to school,95.77679206
Arunachal Pradesh,12,Grade 3,students use home language as medium of instruction in the class,67.94179248
Arunachal Pradesh,12,Grade 3,CWSN students get facilities from school,66.99273598
Arunachal Pradesh,12,Grade 3,"students could understand, what teachers teach in the class",94.05934459
Arunachal Pradesh,12,Grade 3,Students get parental support for their educational achievement,73.89003626
Arunachal Pradesh,12,Grade 3,Teachers have adequate instructional material and supplies,18.80046136
Arunachal Pradesh,12,Grade 3,Teachers have adequate work space,30.70276498
Arunachal Pradesh,12,Grade 3,Teachers say that they are overloaded with the work,25.38860104
Arunachal Pradesh,12,Grade 3,Teachers have responded that the school building needs major repair,48.3908046
Arunachal Pradesh,12,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,41.73862982
Arunachal Pradesh,12,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,43.95857307
Arunachal Pradesh,12,Grade 3,Teachers participated in professional development program,44.64285714
Arunachal Pradesh,12,Grade 3,Teachers have responded that the parents take interest in school activities,83.56321839
Arunachal Pradesh,12,Grade 3,of schools have adequate qualified teaching staff,64.44099379
Arunachal Pradesh,12,Grade 3,of schools have adequate supporting staff,43.98148148
Arunachal Pradesh,12,Grade 3,of schools have adequate audio visual resources,22.58313998
Arunachal Pradesh,12,Grade 3,of schools have adequate library resources,22.74479568
Arunachal Pradesh,12,Grade 3,of schools participate in sports activities,92.75250578
Arunachal Pradesh,12,Grade 3,Understand the protocols for COVID symptom reporting,96.36887608
Arunachal Pradesh,12,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,96.08745685
Arunachal Pradesh,12,Grade 3,Know about the school reopening guidelines,95.21613833
Arunachal Pradesh,12,Grade 3,I learnt many things:,56
Arunachal Pradesh,12,Grade 3,Experiences During Pandemic,55
Arunachal Pradesh,12,Grade 3,Obstacles to learning in pandemic,43
Arunachal Pradesh,12,Grade 3,No Digital Device at Home,45
Arunachal Pradesh,12,Grade 3,Follow the Covid-19 hygiene protocols,81
Arunachal Pradesh,12,Grade 3,"Experienced worry, anxiety and fear during pandemic",47
Arunachal Pradesh,12,Grade 3,Happy being by myself at home,45
Arunachal Pradesh,12,Grade 5,students like to go to school,95.95390611
Arunachal Pradesh,12,Grade 5,students use home language as medium of instruction in the class,60.99141227
Arunachal Pradesh,12,Grade 5,CWSN students get facilities from school,70.91801179
Arunachal Pradesh,12,Grade 5,"students could understand, what teachers teach in the class",94.37025878
Arunachal Pradesh,12,Grade 5,Students get parental support for their educational achievement,77.15292874
Arunachal Pradesh,12,Grade 5,Teachers have adequate instructional material and supplies,18.51168512
Arunachal Pradesh,12,Grade 5,Teachers have adequate work space,33.43596059
Arunachal Pradesh,12,Grade 5,Teachers say that they are overloaded with the work,24.95390289
Arunachal Pradesh,12,Grade 5,Teachers have responded that the school building needs major repair,46.52735095
Arunachal Pradesh,12,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,39.06633907
Arunachal Pradesh,12,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,40.28290283
Arunachal Pradesh,12,Grade 5,Teachers participated in professional development program,44.33497537
Arunachal Pradesh,12,Grade 5,Teachers have responded that the parents take interest in school activities,82.45398773
Arunachal Pradesh,12,Grade 5,of schools have adequate qualified teaching staff,64.44099379
Arunachal Pradesh,12,Grade 5,of schools have adequate supporting staff,43.98148148
Arunachal Pradesh,12,Grade 5,of schools have adequate audio visual resources,22.58313998
Arunachal Pradesh,12,Grade 5,of schools have adequate library resources,22.74479568
Arunachal Pradesh,12,Grade 5,of schools participate in sports activities,92.75250578
Arunachal Pradesh,12,Grade 5,Understand the protocols for COVID symptom reporting,96.00491703
Arunachal Pradesh,12,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,97.29563614
Arunachal Pradesh,12,Grade 5,Know about the school reopening guidelines,96.43076923
Arunachal Pradesh,12,Grade 5,I learnt many things:,59
Arunachal Pradesh,12,Grade 5,Experiences During Pandemic,58
Arunachal Pradesh,12,Grade 5,Obstacles to learning in pandemic,39
Arunachal Pradesh,12,Grade 5,No Digital Device at Home,38
Arunachal Pradesh,12,Grade 5,Follow the Covid-19 hygiene protocols,82
Arunachal Pradesh,12,Grade 5,"Experienced worry, anxiety and fear during pandemic",49
Arunachal Pradesh,12,Grade 5,Happy being by myself at home,49
Arunachal Pradesh,12,Grade 8,students like to go to school,96.93476888
Arunachal Pradesh,12,Grade 8,students use home language as medium of instruction in the class,56.55660217
Arunachal Pradesh,12,Grade 8,CWSN students get facilities from school,67.49564625
Arunachal Pradesh,12,Grade 8,"students could understand, what teachers teach in the class",95.72239615
Arunachal Pradesh,12,Grade 8,Students get parental support for their educational achievement,80.087012
Arunachal Pradesh,12,Grade 8,Teachers have adequate instructional material and supplies,15.56206518
Arunachal Pradesh,12,Grade 8,Teachers have adequate work space,29.47214076
Arunachal Pradesh,12,Grade 8,Teachers say that they are overloaded with the work,22.14888155
Arunachal Pradesh,12,Grade 8,Teachers have responded that the school building needs major repair,47.57887014
Arunachal Pradesh,12,Grade 8,Teachers have responded that there is lack of drinking water facilities in school,40.23451814
Arunachal Pradesh,12,Grade 8,Teachers have responded that there are inadequate toilet facilities in school,41.40453548
Arunachal Pradesh,12,Grade 8,Teachers participated in professional development program,47.54398827
Arunachal Pradesh,12,Grade 8,Teachers have responded that the parents take interest in school activities,80.45471214
Arunachal Pradesh,12,Grade 8,of schools have adequate qualified teaching staff,64.44099379
Arunachal Pradesh,12,Grade 8,of schools have adequate supporting staff,43.98148148
Arunachal Pradesh,12,Grade 8,of schools have adequate audio visual resources,22.58313998
Arunachal Pradesh,12,Grade 8,of schools have adequate library resources,22.74479568
Arunachal Pradesh,12,Grade 8,of schools participate in sports activities,92.75250578
Arunachal Pradesh,12,Grade 8,Understand the protocols for COVID symptom reporting,97.65910753
Arunachal Pradesh,12,Grade 8,Aware of the measures to be taken for wellbeing of the children and school staff,97.84040996
Arunachal Pradesh,12,Grade 8,Know about the school reopening guidelines,97.5815317
Arunachal Pradesh,12,Grade 8,I learnt many things:,29.54899215
Arunachal Pradesh,12,Grade 8,Experiences During Pandemic,63.25832601
Arunachal Pradesh,12,Grade 8,Obstacles to learning in pandemic,96.91012556
Arunachal Pradesh,12,Grade 8,No Digital Device at Home,60.33520613
Arunachal Pradesh,12,Grade 8,Follow the Covid-19 hygiene protocols,67.03871825
Arunachal Pradesh,12,Grade 8,"Experienced worry, anxiety and fear during pandemic",95.74916218
Arunachal Pradesh,12,Grade 8,Happy being by myself at home,76.15293871
Assam,18,Grade 10,students like to go to school,97.18075
Assam,18,Grade 10,students use home language as medium of instruction in the class,68.78792
Assam,18,Grade 10,CWSN students get facilities from school,74.17711
Assam,18,Grade 10,"students could understand, what teachers teach in the class",96.089615
Assam,18,Grade 10,Students get parental support for their educational achievement,73.39836
Assam,18,Grade 10,Teachers have adequate instructional material and supplies,12.749629
Assam,18,Grade 10,Teachers have adequate work space,29.728392
Assam,18,Grade 10,Teachers say that they are overloaded with the work,27.340267
Assam,18,Grade 10,Teachers have responded that the school building needs major repair,53.922295
Assam,18,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,41.261856
Assam,18,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,39.158417
Assam,18,Grade 10,Teachers participated in professional development program,38.453907
Assam,18,Grade 10,Teachers have responded that the parents take interest in school activities,91.99242
Assam,18,Grade 10,of schools have adequate qualified teaching staff,60.97071
Assam,18,Grade 10,of schools have adequate supporting staff,53.118713
Assam,18,Grade 10,of schools have adequate audio visual resources,15.541337
Assam,18,Grade 10,of schools have adequate library resources,24.116564
Assam,18,Grade 10,of schools participate in sports activities,97.92746
Assam,18,Grade 10,Understand the protocols for COVID symptom reporting,99.12585
Assam,18,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,98.8701
