State;Grade;Subject;National Average;Question;State Average;Subject Code
Jammu & Kashmir;Grade 5;EVS;47.96151678;Groups objects, materials, activities for features/properties such as shape, taste, color , texture, sound, traits etc.;54.9743592;EVS506
Jammu & Kashmir;Grade 5;EVS;47.34214092;Traces the changes in practices, customs, techniques of past and present through coins, paintings, monuments, museum etc. and interacting with elders;49.35205638;EVS507
Jammu & Kashmir;Grade 5;EVS;47.79993589;Guesses (properties, conditions of phenomena), estimates spatial quantities (distance, area, volume, weight etc. ) and time in simple standard units and verifies using simple tools/set ups;49.37006532;EVS508
Jammu & Kashmir;Grade 5;EVS;55.3338799;Records observations/experiences/information in an organized manner (e.g. in tables/ sketches/ bar graphs/ pie charts) and predicts patterns in activities/ phenomena (e.g. floating, sinking, mixing, evaporation , germination, spoilage) to establish relation between cause and effect.;61.68279166;EVS509
Jammu & Kashmir;Grade 5;EVS;45.21567946;Identifies signs, directions, location of different objects/landmarks of a locality / place visited in maps and predicts directions w.r.t. positions at different places for a location;50.42426409;EVS510
Jammu & Kashmir;Grade 5;EVS;53.66416907;Voices opinions on issues observed/experienced and relates practices/happenings to larger issues of society;60.67971178;EVS512
Jammu & Kashmir;Grade 5;EVS;35.25714569;Suggests ways for hygiene, health, managing waste. disaster/emergency situations and protecting/saving resources;39.62604776;EVS513
Jammu & Kashmir;Grade 8;Language;52.97309821;Read textual/non-textual materials with comprehension and identifies the details, characters, main idea and sequence of ideas and events while reading;58.57522816;L813
Jammu & Kashmir;Grade 8;Mathematics;49.36112431;Solves problems involving large numbers by applying appropriate operations;56.76042396;M601
Jammu & Kashmir;Grade 8;Mathematics;47.59097545;Solves problems on daily life situations involving addition and subtraction of fractions / decimals;51.00057899;M606
Jammu & Kashmir;Grade 8;Mathematics;28.73591711;Finds out the perimeter and area of rectangular objects in the surroundings like floor of the class room, surfaces of a chalk box etc.;30.10825797;M620
Jammu & Kashmir;Grade 8;Mathematics;40.79030337;Arranges given/collected information in the form of table, pictograph and bar graph and interprets them;44.90261835;M621
Jammu & Kashmir;Grade 8;Mathematics;34.17930695;Interprets the division and multiplication of fractions;36.66720531;M702
Jammu & Kashmir;Grade 8;Mathematics;22.99285869;Solves problems related to daily life situations involving rational numbers;23.52453605;M705
Jammu & Kashmir;Grade 8;Mathematics;28.49537318;Uses exponential form of numbers to simplify problems involving multiplication and division of large numbers;28.77921039;M706
Jammu & Kashmir;Grade 8;Mathematics;37.85720974;Adds/subtracts algebraic expressions;40.87887267;M707
Jammu & Kashmir;Grade 8;Mathematics;29.74238625;Solves problems related to conversion of percentage to fraction and decimal and vice versa;30.55749379;M710
Jammu & Kashmir;Grade 8;Mathematics;33.81366236;Finds out approximate area of closed shapes by using unit square grid/graph sheet;35.6688285;M717
Jammu & Kashmir;Grade 8;Mathematics;43.31123397;Finds various representative values for simple data from her/his daily life contexts like mean, median and mode;46.83687199;M719
Jammu & Kashmir;Grade 8;Mathematics;36.72808475;Interprets data using bar graph such as consumption of electricity is more in winters than summer;43.06334232;M721
Jammu & Kashmir;Grade 8;Mathematics;33.51562816;Generalizes properties of addition, subtraction, multiplication and division of rational numbers through patterns;39.60683723;M801
Jammu & Kashmir;Grade 8;Mathematics;39.69694416;Finds rational numbers between two given rational numbers;42.27908523;M802
Jammu & Kashmir;Grade 8;Mathematics;42.80952108;Proves divisibility rules of 2, 3,4, 5, 6, 9 and 11;46.59178429;M803
Jammu & Kashmir;Grade 8;Mathematics;34.15950514;Finds squares,cubes,square roots and cube roots of numbers using different methods;36.79274415;M804
Jammu & Kashmir;Grade 8;Mathematics;42.22910329;uses various algebric identities in solving problem of daily life.;47.32818343;M808
Jammu & Kashmir;Grade 8;Mathematics;39.31517354;Verifies properties of parallelogram and establishes the relationship between them through reasoning;44.02914151;M812
Jammu & Kashmir;Grade 8;Mathematics;30.49771775;Find surface area and volume of cuboidal and cylindrical object;31.27087293;M818
Jammu & Kashmir;Grade 8;Mathematics;29.72837381;Draws and interprets bar charts and pie charts;33.42753542;M819
Jammu & Kashmir;Grade 8;Science;38.6624294;Classifies materials and organisms based on properties/characteristics;45.135018;SCI703
Jammu & Kashmir;Grade 8;Science;37.07110679;Conducts simple investigation to seek answers to queries;45.94510697;SCI704
Jammu & Kashmir;Grade 8;Science;44.69084783;Relates processes and phenomenon with causes;45.99453231;SCI705
Jammu & Kashmir;Grade 8;Science;42.66757359;"Measures and calculates e.g.. temperature; pulse rate; speed of moving objects; time period of a simple pendulum, etc.";48.61594728;SCI708
Jammu & Kashmir;Grade 8;Science;35.44045265;Plots and interprets graphs;43.15514616;SCI710
Jammu & Kashmir;Grade 8;Science;26.33601219;Constructs models using materials from surroundings and explains their working;29.08565189;SCI711
Jammu & Kashmir;Grade 8;Science;46.11448868;Differentiates materials, organism and processes;52.81014028;SCI801
Jammu & Kashmir;Grade 8;Science;33.95429397;Relates processes and phenomenon with causes;37.65200303;SCI804
Jammu & Kashmir;Grade 8;Science;35.64002396;Explains processes and phenomenon;44.59622109;SCI805
Jammu & Kashmir;Grade 8;Science;33.72744696;Measures angles of incidence and reflection, etc.;37.76009375;SCI807
Jammu & Kashmir;Grade 8;Science;44.6740778;Applies learning of scientific concepts in day-to-day life;51.25479523;SCI811
Jammu & Kashmir;Grade 8;Science;43.70258064;Makes efforts to protect environment;52.25263983;SCI813
Jammu & Kashmir;Grade 8;Social Studies;40.0252085;Identifies latitudes and longitudes, e.g., poles, equator, tropics, States /Ws of India and other neighboring countries on globe and the world map;43.24370437;SST605
Jammu & Kashmir;Grade 8;Social Studies;26.31341968;Locates important historical sites, places on an outline map of India.;25.93188529;SST610
Jammu & Kashmir;Grade 8;Social Studies;35.34243324;Describes the functioning of rural and urban local government bodies in sectors like health and education;37.43522771;SST625
Jammu & Kashmir;Grade 8;Social Studies;46.21675658;Explains preventive actions to be undertaken in the event of disasters;51.73065929;SST703
Jammu & Kashmir;Grade 8;Social Studies;43.90557534;Describes formation of landforms due to various factors;49.51219228;SST704
Jammu & Kashmir;Grade 8;Social Studies;39.38328158;Explains the significance of equality in democracy;44.67478634;SST722
Jammu & Kashmir;Grade 8;Social Studies;41.68680835;Describes the process of election to the legislative assembly;40.3794996;SST726
Jammu & Kashmir;Grade 8;Social Studies;56.08979533;Explains the functioning of media with appropriate examples from newspapers;60.50946169;SST731
Jammu & Kashmir;Grade 8;Social Studies;38.287391;Differentiates between different kinds of markets;39.81764844;SST733
Jammu & Kashmir;Grade 8;Social Studies;40.68413325;Traces how goods travel through various market places;47.65068608;SST734
Jammu & Kashmir;Grade 8;Social Studies;39.43486333;Describes major crops, types of farming and agricultural practices in her/his own areaistate;42.18071357;SST802
Jammu & Kashmir;Grade 8;Social Studies;28.45707033;Locates distribution of important minerals e.g. coal and mineral oil on the world map;30.85906959;SST805
Jammu & Kashmir;Grade 8;Social Studies;37.39117524;Justifies judicious use of natural resources;37.90760055;SST807
Jammu & Kashmir;Grade 8;Social Studies;35.60179601;Draws interrelationship between types of farming and development in different regions of the world;38.37900591;SST809
Jammu & Kashmir;Grade 8;Social Studies;28.01137019;Distinguishes the modern period from the medieval and the ancient periods through the use of sources;26.92951536;SST810
Jammu & Kashmir;Grade 8;Social Studies;32.97000623;Explains the origin, nature and spread of the revolt of 1857 and the lessons learned from it.;37.41837753;SST815
Jammu & Kashmir;Grade 8;Social Studies;27.40803408;Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period;33.27021189;SST816
Jammu & Kashmir;Grade 8;Social Studies;43.86030071;Analyses the issues related to caste, women, widow remarriage, child marriage, social reforms and the laws and policies of colonial administration towards these issues;46.11847587;SST818
Jammu & Kashmir;Grade 8;Social Studies;29.15540248;Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation;42.88820654;SST823
Jammu & Kashmir;Grade 8;Social Studies;35.89976149;Describes the process of making a law. (e.g. Domestic Violence Act, RTI Act, RTE Act);40.56368169;SST827
Jammu & Kashmir;Grade 8;Social Studies;36.59235573;Identifies the role of Government in providing public facilities such as water, sanitation, road, electricity etc, and recognizes their availability;34.90386738;SST831
Jammu & Kashmir;Grade 8;Social Studies;60.53447082;Draws bar diagram to show population of different countries/India/states;68.34744398;SST833
Jammu & Kashmir;Grade 10;English;43.18472;Reads, comprehends and responds to complex texts independently.;49.937683;E1007
Jammu & Kashmir;Grade 10;Modern Indian Language;41.25734;पाठ्यवस्तु में शामिल रचनाओं के अतिरिक्‍त अन्य कविता, कहानी,एकांकी को पढ़ते-लिखते और मंचन करते हैं।;35.832794;MIL1011
Jammu & Kashmir;Grade 10;Mathematics;39.640007;Generalises properties of numbers and relations among them studied earlier to evolve results, such as, Euclid’s division algorithm, Fundamental Theorem of Arithmetic and applies them to solve problems related to real life contexts.;39.568604;M1001
Jammu & Kashmir;Grade 10;Mathematics;32.196224;Develops a relationship between algebraic and graphical methods of finding the zeroes of a polynomial.;31.153885;M1002
Jammu & Kashmir;Grade 10;Mathematics;30.136347;Finds solutions of pairs of linear equations in two variables using graphical and different algebraic methods.;28.375866;M1003
Jammu & Kashmir;Grade 10;Mathematics;36.399822;Demonstrates strategies of finding roots and determining the nature of roots of a quadratic equation.;37.128574;M1004
Jammu & Kashmir;Grade 10;Mathematics;36.75047;Develops strategies to apply the concept of A.P. to daily life situations. Works out ways to differentiate between congruent and similar figures.;36.479504;M1005
Jammu & Kashmir;Grade 10;Mathematics;31.94823;Establishes properties for similarity of two triangles logically using different geometric criteria established earlier such as, Basic Proportionality Theorem, etc.;29.221203;M1006
Jammu & Kashmir;Grade 10;Mathematics;28.170973;"Derives formulae to establish relations for geometrical shapes in the context of a coordinate plane, such as, finding the distance between two given points, to determine the coordinates of a point between any two given points, to find the area of a triangle
        etc.";26.345608;M1007
Jammu & Kashmir;Grade 10;Mathematics;32.813667;Determines all trigonometric ratios with respect to a given acute angle (of a right triangle) and uses them in solving problems in daily life contexts like finding heights of different structures or distance from them.;29.760223;M1008
Jammu & Kashmir;Grade 10;Mathematics;36.4026;Derives proofs of theorems related to the tangents of circles.;37.01617;M1009
Jammu & Kashmir;Grade 10;Mathematics;20.765802;Examines the steps of geometrical constructions and reason out each step;20.731836;M1010
Jammu & Kashmir;Grade 10;Mathematics;35.30695;Finds surface areas and volumes of objects in the surroundings by visualising them as a combination of different solids like cylinder and a cone, cylinder and a hemisphere, combination of different cubes, etc.;33.816242;M1011
Jammu & Kashmir;Grade 10;Mathematics;27.297476;Calculates mean, median and mode for different sets of data related with real life contexts.;24.414114;M1012
Jammu & Kashmir;Grade 10;Science;37.17107;Differentiates materials, objects, organisms, phenomena, and processes, based on, properties and characteristics.;40.641613;SCI1001
Jammu & Kashmir;Grade 10;Science;36.145523;Classifies materials, objects, organisms, phenomena, and processes, based on properties and characteristics.;38.722553;SCI1002
Jammu & Kashmir;Grade 10;Science;40.16393;Relates processes and phenomena with causes and effects;42.640877;SCI1003
Jammu & Kashmir;Grade 10;Science;35.628475;Explains processes and phenomena.;38.112396;SCI1004
Jammu & Kashmir;Grade 10;Science;29.918556;Analyses and interprets data, graphs, and figures;31.656147;SCI1005
Jammu & Kashmir;Grade 10;Science;28.238886;Calculates using the data given;28.194847;SCI1006
Jammu & Kashmir;Grade 10;Science;37.598038;Uses scientific conventions to represent units of various quantities, symbols, formulae, and equations.;43.11937;SCI1007
Jammu & Kashmir;Grade 10;Science;32.583794;Applies learning to hypothetical situations;33.065357;SCI1008
Jammu & Kashmir;Grade 10;Science;36.140385;Applies scientific concepts in daily life and solving problems;39.457813;SCI1009
Jammu & Kashmir;Grade 10;Science;28.161814;Derives formulae, equations, and laws;29.690708;SCI1010
Jammu & Kashmir;Grade 10;Social Studies;33.983433;Recognises and retrieves facts, figures, and narrate processes.;37.109657;SST1001
Jammu & Kashmir;Grade 10;Social Studies;36.572113;Classifies and compares events, facts, data, and figures.;38.526752;SST1002
Jammu & Kashmir;Grade 10;Social Studies;35.907436;Explains cause and effect relationship between phenomena, events, and their occurrence.;40.28164;SST1003
Jammu & Kashmir;Grade 10;Social Studies;33.303093;Analyses and evaluates information.;36.330994;SST1004
Jammu & Kashmir;Grade 10;Social Studies;41.890568;Interprets.;40.538525;SST1005
Jammu & Kashmir;Grade 10;Social Studies;27.184587;Draws interlinkages within Social Science.;27.722183;SST1006
Jammu & Kashmir;Grade 10;Social Studies;51.316265;Identifies assumptions, biases, prejudices, or stereotypes about various aspects.;51.074913;SST1007
Jammu & Kashmir;Grade 10;Social Studies;45.048756;Demonstrates inquisitiveness, enquiry.;45.909985;SST1008
Jammu & Kashmir;Grade 10;Social Studies;28.27952;Constructs views, arguments, and ideas on the basis of collected or given information.;28.58127;SST1009
Jammu & Kashmir;Grade 10;Social Studies;35.440754;Extrapolates and predicts events and phenomena.;39.56786;SST1010
Jammu & Kashmir;Grade 10;Social Studies;44.899364;Illustrates decision making/problem solving skills.;48.257618;SST1011
Jammu & Kashmir;Grade 10;Social Studies;37.20472;Shows sensitivity and appreciation skills.;38.750553;SST1012
Himachal Pradesh;Grade 3;Language;63.63026186;Reads small texts with comprehension i.e., identifies main ideas, details,sequence and draws conclusions;61.05265109;L304
Himachal Pradesh;Grade 3;Language;58.37958018;Reads printed scripts on the classroom walls: poems, posters, charts etc.;58.01209489;L312
Himachal Pradesh;Grade 3;Mathematics;44.86014936;Reads and writes numbers up to 999 using place value;40.37377844;M301
Himachal Pradesh;Grade 3;Mathematics;69.59105659;Compares numbers up to 999 based on their place values;65.36098424;M302
Himachal Pradesh;Grade 3;Mathematics;53.09433594;Solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping;47.59065897;M303
Himachal Pradesh;Grade 3;Mathematics;61.36625068;Constructs and uses the multiplication facts (up till 10) in daily life situations;56.6290873;M304
Himachal Pradesh;Grade 3;Mathematics;52.62719893;Analyses and applies an appropriate number operation in the situation/ context;48.11575403;M305
Himachal Pradesh;Grade 3;Mathematics;47.12859715;Explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction;41.23191503;M306
Himachal Pradesh;Grade 3;Mathematics;43.42736751;Identifies and makes 2D-shapes by paper folding. paper cutting on the dot grid, using straight lines etc.;35.90913849;M309
Himachal Pradesh;Grade 3;Mathematics;55.87288305;Fills a given region leaving no gaps using a tile of a given shape;53.85100421;M311
Himachal Pradesh;Grade 3;Mathematics;50.42683159;Estimates and measures length and distance using standard units like centimeters or meters & identifies relationships;45.74854153;M312
Himachal Pradesh;Grade 3;Mathematics;71.18972678;Reads the time correctly to the hour using a clock/watch;67.69458719;M317
Himachal Pradesh;Grade 3;Mathematics;56.32346284;Extends patterns in simple shapes and numbers;53.00195895;M318
Himachal Pradesh;Grade 3;Mathematics;52.83858721;Records data using tally marks, represents pictorially and draws;50.04152732;M319
Himachal Pradesh;Grade 3;EVS;61.58180576;Identifies simple features (e.g. movement, at places found/ kept, eating habits, sounds) of animals and birds in the immediate surroundings.;60.6341539;EVS302
Himachal Pradesh;Grade 3;EVS;51.2573532;Identifies relationships with and among family members;50.2500642;EVS303
Himachal Pradesh;Grade 3;EVS;65.20640349;Identifies objects, signs (vessels, stoves, transport, means of communication, transport, signboards etc.), places (types of houses/shelters, bus stand, petrol pump etc.) activities (works people do, cooking processes, etc.) at home/school/ neighborhoods;64.33924201;EVS304
Himachal Pradesh;Grade 3;EVS;52.05501548;Describes need of food for people of different age groups, animals/birds, availability of food and water and use of water at home and surroundings.;50.80381502;EVS305
Himachal Pradesh;Grade 3;EVS;63.03021748;Groups objects, birds, animals, features, activities according to differences/ similarities using different senses. (e.g. appearance/place of living/ food/ movement/ likes-dislikes/ any other features);61.31461158;EVS307
Himachal Pradesh;Grade 3;EVS;65.92871657;Identifies directions, location of objects/places in simple maps using signs/symbols/ verbally;65.33429826;EVS309
Himachal Pradesh;Grade 3;EVS;67.30950727;Guesses properties, estimates quantities of materials/activities in daily life and verifies using symbols/non-standard units;64.8766274;EVS310
Himachal Pradesh;Grade 3;EVS;53.9116383;Records observations, experiences, information on objects/activities/places visited in different ways and predicts patterns etc;47.28649206;EVS311
Himachal Pradesh;Grade 3;EVS;42.74752998;Observes rules in games (local, indoor, outdoor);41.62435562;EVS313
Himachal Pradesh;Grade 3;EVS;62.992927;Voices opinion on good/bad touch , stereotypes for tasks/play/food in family w.r.t gender, misuse/wastage of food and water in family and school.;61.87954556;EVS314
Himachal Pradesh;Grade 5;Language;55.19833154;Reads text with comprehension, locates details and sequence of events;52.53098702;L508
Himachal Pradesh;Grade 5;Mathematics;44.80937633;Applies operations of numbers in daily life situations;34.45397005;M401
Himachal Pradesh;Grade 5;Mathematics;35.91642014;Explores the area and perimeter of simple geometrical shapes (triangle, rectangle, square) in terms of given shape as a unit;28.3931426;M412
Himachal Pradesh;Grade 5;Mathematics;47.38427343;Calculates time intervals/duration of familiar daily life events by using forward or backward counting/addition and subtraction;40.95374389;M418
Himachal Pradesh;Grade 5;Mathematics;41.97566973;Represent the collected information in tables and bar graphs and draws inferences from these;35.70784048;M421
Himachal Pradesh;Grade 5;Mathematics;55.23289532;Reads and writes numbers bigger than 1000 being used in her/his surroundings;51.48520486;M501
Himachal Pradesh;Grade 5;Mathematics;45.75788074;Estimates sum, difference, product and quotient of numbers and verifies the same using different strategies like using standard algorithms or breaking a number and then using operation;41.22914589;M504
Himachal Pradesh;Grade 5;Mathematics;54.99199454;Finds the number corresponding to part of a collection;52.69272646;M505
Himachal Pradesh;Grade 5;Mathematics;38.21900005;Identifies and forms equivalent fractions of a given fraction;31.8441747;M506
Himachal Pradesh;Grade 5;Mathematics;42.81734551;Converts fractions into decimals and vice versa;36.94076821;M508
Himachal Pradesh;Grade 5;Mathematics;47.78604298;Classifies angles into right angle, acute angle, obtuse angle and represents the same by drawing and tracing;43.38453587;M509
Himachal Pradesh;Grade 5;Mathematics;37.85880312;Relates different commonly used larger and smaller units of length, weight and volume and converts larger units to smaller units and vice versa;32.10652057;M512
Himachal Pradesh;Grade 5;Mathematics;40.81815671;Estimates the volume of a solid body in known units.;31.81702871;M513
Himachal Pradesh;Grade 5;Mathematics;43.34404251;Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals;33.10696179;M514
Himachal Pradesh;Grade 5;Mathematics;45.86787489;Identifies the pattern in triangular numbers and square number;40.92826223;M515
Himachal Pradesh;Grade 5;Mathematics;46.13490504;Collects data related to various daily life situations. represents it in tabular form and as bar graphs and interprets it;43.60352359;M516
Himachal Pradesh;Grade 5;EVS;50.14524069;Identifies relationship with and among family members in extended family;43.9975263;EVS403
Himachal Pradesh;Grade 5;EVS;49.89861061;Records observations/experiences/information for objects, activities, phenomena, places visited in different ways and predicts patterns and activities/ phenomena;48.18267684;EVS410
Himachal Pradesh;Grade 5;EVS;44.74807312;Explains the super senses and unusual features (sight, smell, hear, sleep, sound, etc.) of animals and their responses to light, sound, food etc.;45.2235825;EVS501
Himachal Pradesh;Grade 5;EVS;50.13567716;Describes the interdependence among animals, plants and humans;45.34154335;EVS503
Himachal Pradesh;Grade 5;EVS;47.79471283;Explains the role and functions of different institutions in daily life (Bank, Panchayat, cooperatives. police station, etc.);43.5844528;EVS504
Himachal Pradesh;Grade 5;EVS;48.43736914;Establishes linkages among terrain, climate, resources (food, water, shelter, livelihood) and cultural life. (e.g. life in distant/difficult areas like hot/cold deserts);46.96445691;EVS505
Himachal Pradesh;Grade 5;EVS;47.96151678;Groups objects, materials, activities for features/properties such as shape, taste, color , texture, sound, traits etc.;44.63062423;EVS506
Himachal Pradesh;Grade 5;EVS;47.34214092;Traces the changes in practices, customs, techniques of past and present through coins, paintings, monuments, museum etc. and interacting with elders;43.96965086;EVS507
Himachal Pradesh;Grade 5;EVS;47.79993589;Guesses (properties, conditions of phenomena), estimates spatial quantities (distance, area, volume, weight etc. ) and time in simple standard units and verifies using simple tools/set ups;39.90476235;EVS508
Himachal Pradesh;Grade 5;EVS;55.3338799;Records observations/experiences/information in an organized manner (e.g. in tables/ sketches/ bar graphs/ pie charts) and predicts patterns in activities/ phenomena (e.g. floating, sinking, mixing, evaporation , germination, spoilage) to establish relation between cause and effect.;52.73361501;EVS509
Himachal Pradesh;Grade 5;EVS;45.21567946;Identifies signs, directions, location of different objects/landmarks of a locality / place visited in maps and predicts directions w.r.t. positions at different places for a location;42.91220382;EVS510
Himachal Pradesh;Grade 5;EVS;53.66416907;Voices opinions on issues observed/experienced and relates practices/happenings to larger issues of society;50.66263206;EVS512
Himachal Pradesh;Grade 5;EVS;35.25714569;Suggests ways for hygiene, health, managing waste. disaster/emergency situations and protecting/saving resources;33.56884898;EVS513
Himachal Pradesh;Grade 8;Language;52.97309821;Read textual/non-textual materials with comprehension and identifies the details, characters, main idea and sequence of ideas and events while reading;58.01134594;L813
Himachal Pradesh;Grade 8;Mathematics;49.36112431;Solves problems involving large numbers by applying appropriate operations;46.74718092;M601
Himachal Pradesh;Grade 8;Mathematics;47.59097545;Solves problems on daily life situations involving addition and subtraction of fractions / decimals;48.10424462;M606
Himachal Pradesh;Grade 8;Mathematics;28.73591711;Finds out the perimeter and area of rectangular objects in the surroundings like floor of the class room, surfaces of a chalk box etc.;27.48759132;M620
Himachal Pradesh;Grade 8;Mathematics;40.79030337;Arranges given/collected information in the form of table, pictograph and bar graph and interprets them;39.71935319;M621
