State;Average;District;Grade;Questoin Description
Bihar;67;;11;of schools have adequate qualified teaching staff
Bihar;47;;11;of schools have adequate supporting staff
Bihar;95;;11;of schools participate in sports activities
Sikkim;98;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Sikkim;81;;11;CWSN students get facilities from school
Sikkim;57;;11;Experienced worry, anxiety and fear during pandemic
Sikkim;88;;11;Follow the Covid-19 hygiene protocols
Sikkim;55;;11;Happy being by myself at home
Sikkim;54;;11;I learnt many things:
Sikkim;98;;11;Know about the school reopening guidelines
Sikkim;38;;11;No Digital Device at Home
Sikkim;97;;11;students could understand, what teachers teach in the class
Sikkim;83;;11;Students get parental support for their educational achievement
Sikkim;98;;11;students like to go to school
Sikkim;78;;11;students use home language as medium of instruction in the class
Sikkim;98;;11;Understand the protocols for COVID symptom reporting
Sikkim;21;;11;Teachers have adequate instructional material and supplies
Sikkim;39;;11;Teachers have adequate work space
Sikkim;89;;11;Teachers have responded that the parents take interest in school activities
Sikkim;33;;11;Teachers have responded that the school building needs major repair
Sikkim;25;;11;Teachers have responded that there are inadequate toilet facilities in school
Sikkim;27;;11;Teachers have responded that there is lack of drinking water facilities in school
Sikkim;64;;11;Teachers participated in professional development program
Sikkim;33;;11;Teachers say that they are overloaded with the work
Sikkim;33;;11;of schools have adequate audio visual resources
Sikkim;32;;11;of schools have adequate library resources
Sikkim;65;;11;of schools have adequate qualified teaching staff
Sikkim;63;;11;of schools have adequate supporting staff
Sikkim;95;;11;of schools participate in sports activities
Arunachal Pradesh;97;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Arunachal Pradesh;68;;11;CWSN students get facilities from school
Arunachal Pradesh;61;;11;Experienced worry, anxiety and fear during pandemic
Arunachal Pradesh;80;;11;Follow the Covid-19 hygiene protocols
Arunachal Pradesh;57;;11;Happy being by myself at home
Arunachal Pradesh;51;;11;I learnt many things:
Arunachal Pradesh;97;;11;Know about the school reopening guidelines
Arunachal Pradesh;43;;11;No Digital Device at Home
Arunachal Pradesh;95;;11;students could understand, what teachers teach in the class
Arunachal Pradesh;78;;11;Students get parental support for their educational achievement
Arunachal Pradesh;97;;11;students like to go to school
Arunachal Pradesh;61;;11;students use home language as medium of instruction in the class
Arunachal Pradesh;97;;11;Understand the protocols for COVID symptom reporting
Arunachal Pradesh;17;;11;Teachers have adequate instructional material and supplies
Arunachal Pradesh;32;;11;Teachers have adequate work space
Arunachal Pradesh;82;;11;Teachers have responded that the parents take interest in school activities
Arunachal Pradesh;47;;11;Teachers have responded that the school building needs major repair
Arunachal Pradesh;41;;11;Teachers have responded that there are inadequate toilet facilities in school
Arunachal Pradesh;39;;11;Teachers have responded that there is lack of drinking water facilities in school
Arunachal Pradesh;47;;11;Teachers participated in professional development program
Arunachal Pradesh;24;;11;Teachers say that they are overloaded with the work
Arunachal Pradesh;23;;11;of schools have adequate audio visual resources
Arunachal Pradesh;23;;11;of schools have adequate library resources
Arunachal Pradesh;64;;11;of schools have adequate qualified teaching staff
Arunachal Pradesh;44;;11;of schools have adequate supporting staff
Arunachal Pradesh;93;;11;of schools participate in sports activities
Nagaland;98;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Nagaland;75;;11;CWSN students get facilities from school
Nagaland;62;;11;Experienced worry, anxiety and fear during pandemic
Nagaland;86;;11;Follow the Covid-19 hygiene protocols
Nagaland;51;;11;Happy being by myself at home
Nagaland;54;;11;I learnt many things:
Nagaland;97;;11;Know about the school reopening guidelines
Nagaland;37;;11;No Digital Device at Home
Nagaland;96;;11;students could understand, what teachers teach in the class
Nagaland;80;;11;Students get parental support for their educational achievement
Nagaland;97;;11;students like to go to school
Nagaland;54;;11;students use home language as medium of instruction in the class
Nagaland;97;;11;Understand the protocols for COVID symptom reporting
Nagaland;13;;11;Teachers have adequate instructional material and supplies
Nagaland;31;;11;Teachers have adequate work space
Nagaland;79;;11;Teachers have responded that the parents take interest in school activities
Nagaland;43;;11;Teachers have responded that the school building needs major repair
Nagaland;31;;11;Teachers have responded that there are inadequate toilet facilities in school
Nagaland;34;;11;Teachers have responded that there is lack of drinking water facilities in school
Nagaland;49;;11;Teachers participated in professional development program
Nagaland;23;;11;Teachers say that they are overloaded with the work
Nagaland;15;;11;of schools have adequate audio visual resources
Nagaland;15;;11;of schools have adequate library resources
Nagaland;61;;11;of schools have adequate qualified teaching staff
Nagaland;46;;11;of schools have adequate supporting staff
Nagaland;96;;11;of schools participate in sports activities
Manipur;96;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Manipur;78;;11;CWSN students get facilities from school
Manipur;59;;11;Experienced worry, anxiety and fear during pandemic
Manipur;85;;11;Follow the Covid-19 hygiene protocols
Manipur;55;;11;Happy being by myself at home
Manipur;54;;11;I learnt many things:
Manipur;95;;11;Know about the school reopening guidelines
Manipur;48;;11;No Digital Device at Home
Manipur;97;;11;students could understand, what teachers teach in the class
Manipur;85;;11;Students get parental support for their educational achievement
Manipur;98;;11;students like to go to school
Manipur;78;;11;students use home language as medium of instruction in the class
Manipur;95;;11;Understand the protocols for COVID symptom reporting
Manipur;16;;11;Teachers have adequate instructional material and supplies
Manipur;27;;11;Teachers have adequate work space
Manipur;87;;11;Teachers have responded that the parents take interest in school activities
Manipur;45;;11;Teachers have responded that the school building needs major repair
Manipur;43;;11;Teachers have responded that there are inadequate toilet facilities in school
Manipur;40;;11;Teachers have responded that there is lack of drinking water facilities in school
Manipur;55;;11;Teachers participated in professional development program
Manipur;23;;11;Teachers say that they are overloaded with the work
Manipur;16;;11;of schools have adequate audio visual resources
Manipur;21;;11;of schools have adequate library resources
Manipur;56;;11;of schools have adequate qualified teaching staff
Manipur;42;;11;of schools have adequate supporting staff
Manipur;93;;11;of schools participate in sports activities
Mizoram;89;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Mizoram;70;;11;CWSN students get facilities from school
Mizoram;54;;11;Experienced worry, anxiety and fear during pandemic
Mizoram;82;;11;Follow the Covid-19 hygiene protocols
Mizoram;58;;11;Happy being by myself at home
Mizoram;48;;11;I learnt many things:
Mizoram;86;;11;Know about the school reopening guidelines
Mizoram;39;;11;No Digital Device at Home
Mizoram;95;;11;students could understand, what teachers teach in the class
Mizoram;80;;11;Students get parental support for their educational achievement
Mizoram;96;;11;students like to go to school
Mizoram;77;;11;students use home language as medium of instruction in the class
Mizoram;89;;11;Understand the protocols for COVID symptom reporting
Mizoram;14;;11;Teachers have adequate instructional material and supplies
Mizoram;43;;11;Teachers have adequate work space
Mizoram;79;;11;Teachers have responded that the parents take interest in school activities
Mizoram;38;;11;Teachers have responded that the school building needs major repair
Mizoram;27;;11;Teachers have responded that there are inadequate toilet facilities in school
Mizoram;24;;11;Teachers have responded that there is lack of drinking water facilities in school
Mizoram;40;;11;Teachers participated in professional development program
Mizoram;41;;11;Teachers say that they are overloaded with the work
Mizoram;11;;11;of schools have adequate audio visual resources
Mizoram;10;;11;of schools have adequate library resources
Mizoram;54;;11;of schools have adequate qualified teaching staff
Mizoram;33;;11;of schools have adequate supporting staff
Mizoram;94;;11;of schools participate in sports activities
Tripura;98;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Tripura;76;;11;CWSN students get facilities from school
Tripura;59;;11;Experienced worry, anxiety and fear during pandemic
Tripura;81;;11;Follow the Covid-19 hygiene protocols
Tripura;51;;11;Happy being by myself at home
Tripura;52;;11;I learnt many things:
Tripura;98;;11;Know about the school reopening guidelines
Tripura;46;;11;No Digital Device at Home
Tripura;95;;11;students could understand, what teachers teach in the class
Tripura;77;;11;Students get parental support for their educational achievement
Tripura;97;;11;students like to go to school
Tripura;75;;11;students use home language as medium of instruction in the class
Tripura;98;;11;Understand the protocols for COVID symptom reporting
Tripura;19;;11;Teachers have adequate instructional material and supplies
Tripura;39;;11;Teachers have adequate work space
Tripura;94;;11;Teachers have responded that the parents take interest in school activities
Tripura;34;;11;Teachers have responded that the school building needs major repair
Tripura;26;;11;Teachers have responded that there are inadequate toilet facilities in school
Tripura;28;;11;Teachers have responded that there is lack of drinking water facilities in school
Tripura;43;;11;Teachers participated in professional development program
Tripura;20;;11;Teachers say that they are overloaded with the work
Tripura;28;;11;of schools have adequate audio visual resources
Tripura;28;;11;of schools have adequate library resources
Tripura;57;;11;of schools have adequate qualified teaching staff
Tripura;29;;11;of schools have adequate supporting staff
Tripura;97;;11;of schools participate in sports activities
Meghalaya;96;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Meghalaya;69;;11;CWSN students get facilities from school
Meghalaya;59;;11;Experienced worry, anxiety and fear during pandemic
Meghalaya;81;;11;Follow the Covid-19 hygiene protocols
Meghalaya;52;;11;Happy being by myself at home
Meghalaya;52;;11;I learnt many things:
Meghalaya;96;;11;Know about the school reopening guidelines
Meghalaya;48;;11;No Digital Device at Home
Meghalaya;93;;11;students could understand, what teachers teach in the class
Meghalaya;76;;11;Students get parental support for their educational achievement
Meghalaya;95;;11;students like to go to school
Meghalaya;68;;11;students use home language as medium of instruction in the class
Meghalaya;96;;11;Understand the protocols for COVID symptom reporting
Meghalaya;10;;11;Teachers have adequate instructional material and supplies
Meghalaya;21;;11;Teachers have adequate work space
Meghalaya;88;;11;Teachers have responded that the parents take interest in school activities
Meghalaya;48;;11;Teachers have responded that the school building needs major repair
Meghalaya;44;;11;Teachers have responded that there are inadequate toilet facilities in school
Meghalaya;52;;11;Teachers have responded that there is lack of drinking water facilities in school
Meghalaya;37;;11;Teachers participated in professional development program
Meghalaya;15;;11;Teachers say that they are overloaded with the work
Meghalaya;12;;11;of schools have adequate audio visual resources
Meghalaya;12;;11;of schools have adequate library resources
Meghalaya;57;;11;of schools have adequate qualified teaching staff
Meghalaya;36;;11;of schools have adequate supporting staff
Meghalaya;89;;11;of schools participate in sports activities
Assam;99;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Assam;73;;11;CWSN students get facilities from school
Assam;58;;11;Experienced worry, anxiety and fear during pandemic
Assam;85;;11;Follow the Covid-19 hygiene protocols
Assam;43;;11;Happy being by myself at home
Assam;51;;11;I learnt many things:
Assam;98;;11;Know about the school reopening guidelines
Assam;48;;11;No Digital Device at Home
Assam;97;;11;students could understand, what teachers teach in the class
Assam;74;;11;Students get parental support for their educational achievement
Assam;98;;11;students like to go to school
Assam;70;;11;students use home language as medium of instruction in the class
Assam;99;;11;Understand the protocols for COVID symptom reporting
Assam;16;;11;Teachers have adequate instructional material and supplies
Assam;33;;11;Teachers have adequate work space
Assam;91;;11;Teachers have responded that the parents take interest in school activities
Assam;47;;11;Teachers have responded that the school building needs major repair
Assam;32;;11;Teachers have responded that there are inadequate toilet facilities in school
Assam;34;;11;Teachers have responded that there is lack of drinking water facilities in school
Assam;35;;11;Teachers participated in professional development program
Assam;27;;11;Teachers say that they are overloaded with the work
Assam;16;;11;of schools have adequate audio visual resources
Assam;24;;11;of schools have adequate library resources
Assam;61;;11;of schools have adequate qualified teaching staff
Assam;53;;11;of schools have adequate supporting staff
Assam;98;;11;of schools participate in sports activities
West Bengal;97;;11;Aware of the measures to be taken for wellbeing of the children and school staff
West Bengal;77;;11;CWSN students get facilities from school
West Bengal;57;;11;Experienced worry, anxiety and fear during pandemic
West Bengal;85;;11;Follow the Covid-19 hygiene protocols
West Bengal;48;;11;Happy being by myself at home
West Bengal;54;;11;I learnt many things:
West Bengal;98;;11;Know about the school reopening guidelines
West Bengal;46;;11;No Digital Device at Home
West Bengal;97;;11;students could understand, what teachers teach in the class
West Bengal;81;;11;Students get parental support for their educational achievement
West Bengal;98;;11;students like to go to school
West Bengal;87;;11;students use home language as medium of instruction in the class
West Bengal;99;;11;Understand the protocols for COVID symptom reporting
West Bengal;26;;11;Teachers have adequate instructional material and supplies
West Bengal;49;;11;Teachers have adequate work space
West Bengal;94;;11;Teachers have responded that the parents take interest in school activities
West Bengal;36;;11;Teachers have responded that the school building needs major repair
West Bengal;23;;11;Teachers have responded that there are inadequate toilet facilities in school
West Bengal;24;;11;Teachers have responded that there is lack of drinking water facilities in school
West Bengal;31;;11;Teachers participated in professional development program
West Bengal;30;;11;Teachers say that they are overloaded with the work
West Bengal;31;;11;of schools have adequate audio visual resources
West Bengal;33;;11;of schools have adequate library resources
West Bengal;70;;11;of schools have adequate qualified teaching staff
West Bengal;41;;11;of schools have adequate supporting staff
West Bengal;98;;11;of schools participate in sports activities
Jharkhand;98;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Jharkhand;73;;11;CWSN students get facilities from school
Jharkhand;60;;11;Experienced worry, anxiety and fear during pandemic
Jharkhand;81;;11;Follow the Covid-19 hygiene protocols
Jharkhand;54;;11;Happy being by myself at home
Jharkhand;56;;11;I learnt many things:
Jharkhand;99;;11;Know about the school reopening guidelines
Jharkhand;53;;11;No Digital Device at Home
Jharkhand;96;;11;students could understand, what teachers teach in the class
Jharkhand;81;;11;Students get parental support for their educational achievement
Jharkhand;98;;11;students like to go to school
Jharkhand;79;;11;students use home language as medium of instruction in the class
Jharkhand;98;;11;Understand the protocols for COVID symptom reporting
Jharkhand;26;;11;Teachers have adequate instructional material and supplies
Jharkhand;48;;11;Teachers have adequate work space
Jharkhand;88;;11;Teachers have responded that the parents take interest in school activities
Jharkhand;29;;11;Teachers have responded that the school building needs major repair
Jharkhand;16;;11;Teachers have responded that there are inadequate toilet facilities in school
Jharkhand;17;;11;Teachers have responded that there is lack of drinking water facilities in school
Jharkhand;62;;11;Teachers participated in professional development program
Jharkhand;22;;11;Teachers say that they are overloaded with the work
Jharkhand;27;;11;of schools have adequate audio visual resources
Jharkhand;41;;11;of schools have adequate library resources
Jharkhand;62;;11;of schools have adequate qualified teaching staff
Jharkhand;43;;11;of schools have adequate supporting staff
Jharkhand;97;;11;of schools participate in sports activities
Odisha;97;;11;Aware of the measures to be taken for wellbeing of the children and school staff
Odisha;80;;11;CWSN students get facilities from school
