District;State;Central Government Schools;District ID;Female Gender;General Social Group;Government Aided Schools;Government Schools;Grade;Male Gender;OBC Social Group;Private School;Rural Location;SC Social Group;ST Social Group;State ID;Total Schools;Total Students;Total Teachers;Transgender;Urban Location
West Bengal;West Bengal;13.17305905;;52.09818385;55.41955568;3.023731334;46.55183097;5;47.90181615;19.84576199;37.25137865;69.13067724;17.50389133;6.99023631;19;659;16139;1913;0;30.86932276
West Bengal;West Bengal;8.203905394;;54.24439997;51.93141773;2.320036089;49.25565509;8;45.75560003;23.12279751;40.22040343;72.27556873;17.40986717;7.42071022;19;1187;30853;4559;0;27.6277631
West Bengal;West Bengal;7.4899077;;55.19106;50.43446;2.616782;56.033737;10;44.80173;23.037504;33.859573;66.97665;19.71036;6.7508354;19;1257;34599;6130;0.007209805;33.023357
Jharkhand;Jharkhand;8.348686635;;49.65382379;12.11334387;21.12438806;44.65968311;3;50.34089107;46.92932942;25.8672422;73.74322261;10.22239783;30.59945812;20;991;18997;2424;0.005285133;26.25677739
Jharkhand;Jharkhand;8.358999298;;49.77213542;13.91714497;23.53163668;40.95207219;5;50.21158854;46.79774962;27.15729184;72.92916194;9.92214582;29.1867932;20;916;18507;2296;0.016276042;27.07083806
Jharkhand;Jharkhand;5.675255442;;51.45004175;11.62936386;20.70746335;43.18636162;8;48.52212636;49.34221767;30.43091959;75.38316304;8.798906544;30.08143972;20;1367;35817;4850;0.027831895;24.61683696
Jharkhand;Jharkhand;5.521358;;57.109978;13.672073;11.421998;47.857986;10;42.87136;49.09402;35.198658;74.961136;8.91409;28.243792;20;1386;40188;6286;0.01866136;25.03886
Odisha;Odisha;13.44361707;;49.38023001;24.64346556;8.788513845;42.649485;3;50.61529512;37.47870528;35.11838409;71.21326972;15.31272816;22.29739596;21;1270;22427;3442;0.004474874;28.78673028
Odisha;Odisha;13.91801306;;48.93938739;24.86085343;8.701443795;42.02475077;5;51.04765196;36.81556539;35.35579237;70.25180474;16.37885924;21.73540745;21;1233;23272;3390;0.012960643;29.74819526
Odisha;Odisha;8.847896176;;49.76291694;23.62225209;25.68665061;35.08958087;8;50.22482014;38.72869965;30.37587234;74.11745501;15.72215237;21.58435589;21;1975;48587;7584;0.012262917;25.88254499
Odisha;Odisha;7.9920816;;52.299744;21.823515;34.937702;33.066803;10;47.68472;38.668327;24.003416;79.458916;15.631279;23.615688;21;2260;64325;10727;0.015538808;20.541086
Chhattisgarh;Chhattisgarh;5.375037959;;49.94367063;9.52253506;12.69865371;47.80848264;3;50.05632937;41.40884274;34.11782569;70.75108817;11.27823573;37.75291725;22;1156;19758;2902;0;29.24891183
Chhattisgarh;Chhattisgarh;5.437410569;;49.08306899;10.95494216;12.89781418;46.93837272;5;50.91693101;40.77531967;34.72640253;68.63373958;11.83275827;36.41668358;22;1138;20267;2884;0;31.36626042
Chhattisgarh;Chhattisgarh;5.630743525;;50.61493739;10.427157;8.88331941;48.00334169;8;49.35711091;43.23055163;37.48259538;67.56335283;11.81895332;34.44978784;22;1546;35533;5565;0.027951699;32.43664717
Chhattisgarh;Chhattisgarh;3.8231115;;53.306526;11.573294;6.0898027;52.94917;10;46.668728;45.724815;37.137917;65.06084;12.422709;30.216726;22;1498;40437;7166;0.02474482;34.939163
Madhya Pradesh;Madhya Pradesh;18.71679818;;48.83028058;14.74732944;7.558409407;35.6310279;3;51.16453794;46.57556142;38.09376451;64.01567899;16.3936173;22.20890274;23;2320;38778;5433;0.005181481;35.98432101
Madhya Pradesh;Madhya Pradesh;18.29694532;;49.06131464;15.87706481;7.902422675;37.12295317;5;50.93868536;45.47660913;36.67767883;62.92492579;16.90977984;21.578048;23;2348;41772;5614;0;37.07507421
Madhya Pradesh;Madhya Pradesh;16.75034868;;49.66624773;17.12581653;5.645746165;35.08507671;8;50.32537355;47.48082931;42.51882845;59.33333333;16.33626811;19.00596421;23;3068;70932;10953;0.008378718;40.66666667
Madhya Pradesh;Madhya Pradesh;15.185447;;51.06347;19.55459;6.2332535;37.661823;10;48.93089;49.887074;40.919476;53.13778;15.446411;15.049029;23;3250;88581;15507;0.005641749;46.86222
Gujarat;Gujarat;5.824910708;;47.85367532;26.19482375;13.70924842;43.10737898;3;52.14632468;48.24150524;37.35846189;56.57344783;6.379009209;18.88297872;24;1144;26318;3009;0;43.42655217
Gujarat;Gujarat;6.123835038;;47.27590265;26.92397935;14.16066106;43.29321209;5;52.72409735;47.08274675;36.42229182;54.84284798;6.992022525;18.72751447;24;1130;26503;3075;0;45.15715202
Gujarat;Gujarat;6.503247758;;48.41014093;25.86410519;18.72486854;38.91896072;8;51.58597663;48.26391623;35.85292298;60.99211259;7.00338556;18.55365719;24;2039;51358;7495;0.00388244;39.00788741
Gujarat;Gujarat;10.957461;;49.930252;24.187664;35.97445;21.282957;10;50.069748;45.676716;31.785131;66.81503;7.2146497;22.42875;24;2631;73507;11300;0;33.184967
Daman & Diu;Daman & Diu;3.260869565;;45.65217391;41.69835234;3.152173913;55;3;54.34782609;44.99366286;38.58695652;65.32608696;3.168567807;9.125475285;25;34;920;98;0;34.67391304
Daman & Diu;Daman & Diu;3.597122302;;44.72422062;41.43049933;7.194244604;50.23980815;5;55.27577938;46.28879892;38.96882494;66.06714628;3.50877193;7.557354926;25;33;834;91;0;33.93285372
Daman & Diu;Daman & Diu;6.259097525;;48.47161572;41.2462908;8.442503639;57.20524017;8;51.52838428;38.72403561;28.09315866;66.37554585;4.005934718;15.57863501;25;58;1364;227;0;33.62445415
Daman & Diu;Daman & Diu;8;;49.77778;30.892448;10.666667;53.77778;10;50.22222;48.512585;27.555555;59.333332;4.1189933;16.475973;25;43;1113;209;0;40.666668
Dadra & Nagar Haveli;Dadra & Nagar Haveli;3.484320557;;48.19976771;44.27020507;13.70499419;41.57955865;3;51.80023229;6.031363088;41.2311266;66.20209059;0.723763571;48.97466828;26;33;861;90;0;33.79790941
Dadra & Nagar Haveli;Dadra & Nagar Haveli;4.335260116;;44.65317919;48.03149606;17.34104046;39.88439306;5;55.34682081;6.929133858;38.43930636;70.0867052;2.362204724;42.67716535;26;29;692;76;0;29.9132948
Dadra & Nagar Haveli;Dadra & Nagar Haveli;3.65408039;;49.45188794;32.8358209;7.30816078;56.15103532;8;50.54811206;7.462686567;32.88672351;79.90255786;2.611940299;56.84079602;26;61;1634;233;0;20.09744214
Dadra & Nagar Haveli;Dadra & Nagar Haveli;5.0104384;;41.753654;23.98287;9.185803;52.81837;10;58.246346;11.349036;32.985386;74.53027;5.353319;59.314774;26;46;1193;222;0;25.469728
Maharashtra;Maharashtra;5.564495638;;49.01054661;38.28287497;30.76705909;32.26616979;3;50.98945339;39.16974809;31.40227549;51.71508427;12.268893;10.15715276;27;1608;35421;3640;0;48.28491573
Maharashtra;Maharashtra;6.348554534;;48.23254535;36.30832212;32.68177836;30.70521244;5;51.76745465;40.15253477;30.26445466;55.68604906;12.43831314;10.83445491;27;1532;36528;4043;0;44.31395094
Maharashtra;Maharashtra;8.64952241;;49.49632212;36.70980886;33.66642175;25.89272594;8;50.50072376;36.62891725;31.7913299;57.50183688;13.1973156;13.02055246;27;2599;67696;9819;0.002954122;42.49816312
Maharashtra;Maharashtra;11.25817;;49.625412;34.200264;36.826797;18.522877;10;50.374588;36.79445;33.39216;57.32353;14.474554;14.177132;27;2757;76471;13064;0;42.67647
Andhra Pradesh;Andhra Pradesh;9.325831982;;48.91220639;19.16021631;24.38256889;37.61800324;3;51.08779361;54.66016329;28.67359588;55.96452751;18.44979324;6.998197434;28;508;10487;1188;0;44.03547249
Andhra Pradesh;Andhra Pradesh;10.98510332;;50.1694587;20.39827205;22.71023546;35.9634791;5;49.8305413;54.38836793;30.34118212;56.29985584;18.73353704;5.847645137;28;477;10405;1189;0;43.70014416
Andhra Pradesh;Andhra Pradesh;9.271217712;;53.70541918;24.93955513;22.19787823;32.72601476;8;46.28300139;50.3868472;35.8048893;55.16605166;17.87959381;6.032398453;28;645;17250;2453;0.011579435;44.83394834
Andhra Pradesh;Andhra Pradesh;7.3586917;;52.941177;24.510284;21.83908;33.59403;10;47.058823;50.710087;37.2082;53.5016;19.209108;4.6767874;28;778;21084;3624;0;46.4984
Karnataka;Karnataka;5.415324024;;49.35897436;8.025738707;27.9955842;35.36818236;3;50.63803019;65.49604636;31.22090942;57.28308867;18.32442296;7.920094759;29;1653;33516;4454;0.002995447;42.71691133
Karnataka;Karnataka;5.479744787;;49.97695357;9.450809178;27.58189089;33.71187838;5;50.01997357;65.58119686;33.22648594;53.39316787;17.40143781;7.264550438;29;1572;32757;4338;0.003072857;46.60683213
Karnataka;Karnataka;7.86963434;;51.21174056;10.90701799;31.01381925;28.61685215;8;48.78519562;62.69951862;32.49969426;56.01076189;17.32645047;8.775652394;29;2409;65067;9327;0.003063819;43.98923811
Karnataka;Karnataka;5.911993;;52.665207;12.151395;31.675638;29.566225;10;47.334793;60.532066;32.846146;56.171757;18.407017;8.658913;29;2872;79767;13756;0;43.828243
Goa;Goa;8.125;;49.2;80.13100437;36.875;26.59090909;3;50.8;9.679767103;28.40909091;64.94318182;2.183406114;7.860262009;30;99;1760;227;0;35.05681818
Goa;Goa;9.101941748;;53.58009709;73.0017762;36.83252427;29.61165049;5;46.41990291;10.47957371;24.4538835;69.66019417;1.598579041;14.56483126;30;69;1648;167;0;30.33980583
Goa;Goa;7.509025271;;50.54151625;65.36064114;44.98194946;30.68592058;8;49.38628159;16.29563669;16.82310469;66.78700361;2.84951024;15.22707035;30;115;2738;362;0.072202166;33.21299639
Goa;Goa;6.1538463;;50.25641;65.625;46.813187;35.604397;10;49.74359;20.46875;11.428572;68.49817;2.5;11.171875;30;137;3381;517;0;31.501831
Lakshadweep;Lakshadweep;9.584664537;;46.00638978;0.980392157;0;90.41533546;3;53.99361022;1.633986928;0;100;0;97.38562092;31;12;313;35;0;0
Lakshadweep;Lakshadweep;7.540983607;;52.45901639;0.655737705;0;92.45901639;5;47.54098361;1.639344262;0;100;0.983606557;96.72131148;31;12;305;36;0;0
Lakshadweep;Lakshadweep;7.619047619;;57.61904762;0.483091787;0;92.38095238;8;42.38095238;1.93236715;0;100;0;97.58454106;31;17;414;67;0;0
Lakshadweep;Lakshadweep;11.9760475;;58.682636;0.5988024;0;88.02395;10;41.317364;1.1976048;0;100;0;98.20359;31;15;415;74;0;0
Kerala;Kerala;8.535041335;;51.60277965;25.61560073;29.16511507;29.47046995;3;48.39722035;64.69178648;32.82937365;74.581068;7.759048091;1.454305074;32;590;13427;1646;0;25.418932
Kerala;Kerala;9.004386943;;52.02647431;25.71312804;30.25503755;29.16945498;5;47.97352569;64.31118314;31.57112053;73.33630753;7.568881686;2.188006483;32;529;13449;1574;0;26.66369247
Kerala;Kerala;5.959045939;;51.42659917;28.38989866;31.90428714;30.73855357;8;48.55806105;61.2353225;31.39811335;69.54521052;7.624256072;2.19559273;32;979;25950;3857;0.015339776;30.45478948
Kerala;Kerala;4.8687425;;51.659924;28.66212;31.868132;29.990843;10;48.32481;61.11764;33.27228;72.86325;7.6259894;2.2807431;32;1207;32740;5890;0.01526368;27.136753
Tamil Nadu;Tamil Nadu;4.323387266;;50.170774;9.6022951;29.78041605;33.66778735;3;49.829226;67.08668504;32.22840933;90.41815507;22.42223097;0.613151825;33;990;19036;2366;0;9.581844925
Tamil Nadu;Tamil Nadu;3.97792253;;50.44067121;9.226016087;29.37695788;34.7471533;5;49.55434945;68.3215256;31.89796629;89.73198747;21.57353646;0.751078677;33;974;20111;2389;0.004979336;10.26801253
Tamil Nadu;Tamil Nadu;2.796432319;;51.76612607;12.53296703;32.13536201;30.97586569;8;48.22862541;65.37912088;34.09233998;89.08709339;20.99450549;0.956043956;33;1489;37819;5762;0.005248517;10.91290661
Tamil Nadu;Tamil Nadu;2.0923045;;54.492474;12.792212;28.846447;33.983486;10;45.502457;65.31994;35.077766;89.183846;21.028791;0.70286876;33;1749;49287;8484;0.005067653;10.816151
Puducherry;Puducherry;5.080440305;;53.45192715;7.583371402;16.34208298;41.6596105;3;46.54807285;74.6002741;36.91786622;37.29889924;16.99406122;0.411146642;34;116;2362;325;0;62.70110076
Puducherry;Puducherry;4.919388177;;49.31789996;11.88780053;16.99049194;41.25671765;5;50.68210004;71.32680321;36.83340223;34.22902026;16.16206589;0.445235975;34;111;2419;318;0;65.77097974
Puducherry;Puducherry;6.194690265;;52.82131661;12.44541485;17.49089016;37.27225403;8;47.17868339;70.08733624;39.04216554;43.7272254;16.92139738;0.38209607;34;156;3797;616;0;56.2727746
Puducherry;Puducherry;5.326087;;56.086956;13.024035;16.630434;37.22826;10;43.913044;69.31246;40.815216;46.032608;16.825043;0.39128006;34;178;4520;869;0;53.967392
Andaman & Nicobar Islands;Andaman & Nicobar Islands;4.784688995;;51.19617225;59.75395431;3.03030303;58.29346093;3;48.80382775;25.21968366;33.89154705;68.42105263;0.527240773;14.49912127;35;69;1254;197;0;31.57894737
Andaman & Nicobar Islands;Andaman & Nicobar Islands;4.962779156;;50.45492142;56.55462185;4.383788255;56.65839537;5;49.54507858;26.13445378;33.99503722;64.681555;1.260504202;16.05042017;35;67;1209;187;0;35.318445
Andaman & Nicobar Islands;Andaman & Nicobar Islands;5.327102804;;49.90654206;56.75413022;2.803738318;62.52336449;8;50.09345794;26.82215743;29.34579439;68.31775701;0.388726919;16.03498542;35;100;2107;372;0;31.68224299
Andaman & Nicobar Islands;Andaman & Nicobar Islands;5.365297;;50.971428;55.79793;2.739726;72.26028;10;49.028572;28.70264;19.634703;66.438354;0.3444317;15.154994;35;89;2184;386;0;33.561646
Telangana;Telangana;6.040601389;;49.10285473;11.37964009;8.627795161;46.23750286;3;50.89714527;59.84960445;39.09410059;55.83454171;17.78666435;10.8232635;36;1330;26206;3601;0;44.16545829
Telangana;Telangana;14.1752787;;51.79495538;12.87686161;9.728212222;36.69541867;5;48.19689499;57.18307301;39.40109041;50.26853283;18.54340719;11.17417363;36;1151;24578;3207;0.008149627;49.73146717
Telangana;Telangana;10.81811405;;52.70786726;15.92574499;4.933842713;39.52199031;8;47.28747204;55.42256961;44.72605293;47.58199776;16.32144602;11.86126038;36;1666;42603;6449;0.004660701;52.41800224
Telangana;Telangana;8.006528;;53.211628;14.886156;4.641674;41.83747;10;46.778767;57.075123;45.514328;48.32717;16.091272;11.433793;36;2009;52033;9561;0.009608455;51.67283
Ladakh;Ladakh;7.084468665;;50.40871935;5.943536404;1.226158038;30.38147139;3;49.59128065;0.14858841;61.30790191;54.90463215;0.29717682;93.16493314;37;61;734;183;0;45.09536785
Ladakh;Ladakh;6.086956522;;47.53623188;2.286585366;2.028985507;32.75362319;5;52.46376812;0.152439024;59.13043478;59.27536232;0.304878049;97.10365854;37;62;690;205;0;40.72463768
Ladakh;Ladakh;9.003601441;;53.8647343;4.021447721;0.840336134;34.93397359;8;46.1352657;0.134048257;55.22208884;65.30612245;0.402144772;95.17426273;37;119;1606;448;0;34.69387755
Ladakh;Ladakh;6.4738293;;54.95868;1.9490255;0;55.23416;10;45.04132;0.29985008;38.29201;69.146;0.8995502;96.85158;37;84;1801;422;0;30.853994
